Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
0,120,0.0,0.0,0.0,0.0,0.0,0.0
120,240,0.0,0.0,0.0,0.0,0.0,0.0
360,480,0.0,0.0,0.0,0.0,0.0,0.0
840,960,0.0,0.0,0.0,0.0,0.0,0.0
1800,1920,0.0,0.0,0.0,0.0,0.0,0.0
3720,3840,0.0,0.0,0.0,0.0,0.0,0.0
7560,7680,0.0,0.0,0.0,0.0,0.0,0.0
15240,15360,0.0,0.0,0.0,0.0,0.0,0.0
30600,30720,0.0,0.0,0.0,0.0,0.0,0.0
61320,61440,0.0,0.0,0.0,0.0,0.0,0.0
122760,7680,3.69988e+07,-11.4278,-0.0707575,-0.0115677,-0.0591558,-3.3998e-05
130440,7680,3.65502e+07,-11.3955,-0.0707254,-0.0115677,-0.0591558,-1.89581e-06
138120,7680,3.62771e+07,-11.3953,-0.0707252,-0.0115677,-0.0591558,-1.67385e-06
145800,7680,3.60913e+07,-11.3955,-0.0707254,-0.0115677,-0.0591558,-1.87592e-06
153480,7680,3.59063e+07,-11.3957,-0.0707256,-0.0115677,-0.0591558,-2.08739e-06
161160,7680,3.58128e+07,-11.3958,-0.0707257,-0.0115677,-0.0591558,-2.19497e-06
168840,7680,3.57217e+07,-11.3959,-0.0707258,-0.0115677,-0.0591558,-2.29884e-06
176520,7680,3.56283e+07,-11.396,-0.0707259,-0.0115677,-0.0591558,-2.40519e-06
184200,7680,3.55334e+07,-11.3961,-0.0707261,-0.0115677,-0.0591558,-2.51337e-06
191880,7680,3.54396e+07,-11.3962,-0.0707262,-0.0115677,-0.0591558,-2.61973e-06
199560,15360,3.53505e+07,-11.3963,-0.0707263,-0.0115677,-0.0591558,-2.72103e-06
214920,30720,3.50846e+07,-11.3966,-0.0707266,-0.0115677,-0.0591558,-3.01802e-06
245640,61440,3.47701e+07,-11.397,-0.0707269,-0.0115677,-0.0591558,-3.3613e-06
307080,61440,3.46357e+07,-11.3971,-0.070727,-0.0115677,-0.0591558,-3.5024e-06
368520,122880,3.447e+07,-11.411,-0.0708126,-0.0115817,-0.0592272,-3.6683e-06
491400,245760,3.42456e+07,-11.4113,-0.0708128,-0.0115817,-0.0592272,-3.86797e-06
737160,245760,3.4121e+07,-11.4114,-0.0708129,-0.0115817,-0.0592272,-3.96739e-06
982920,491520,3.38596e+07,-11.4115,-0.0708131,-0.0115817,-0.0592272,-4.14698e-06
1.47444e+06,491520,3.36941e+07,-11.4607,-0.0711176,-0.0116315,-0.0594818,-4.26287e-06
1.96596e+06,983040,3.33951e+07,-11.4608,-0.0711177,-0.0116315,-0.0594818,-4.42715e-06
2.949e+06,983040,3.30607e+07,-11.461,-0.0711179,-0.0116315,-0.0594818,-4.5937e-06
3.93204e+06,983040,3.27307e+07,-11.5021,-0.0713717,-0.011673,-0.059694,-4.77259e-06
4.91508e+06,983040,3.244e+07,-11.5022,-0.0713719,-0.011673,-0.059694,-4.91481e-06
5.89812e+06,983040,3.21761e+07,-11.5023,-0.071372,-0.011673,-0.059694,-5.04529e-06
6.88116e+06,983040,3.19442e+07,-11.5025,-0.0713721,-0.011673,-0.059694,-5.16476e-06
7.8642e+06,1.96608e+06,3.15031e+07,-11.5152,-0.0714496,-0.0116856,-0.0597586,-5.41865e-06
9.83028e+06,1.96608e+06,3.11116e+07,-11.5154,-0.0714499,-0.0116856,-0.0597586,-5.65628e-06
1.17964e+07,1.96608e+06,3.0756e+07,-11.5156,-0.0714501,-0.0116856,-0.0597586,-5.88518e-06
1.37624e+07,1.96608e+06,3.04268e+07,-11.5134,-0.071435,-0.0116831,-0.0597457,-6.10785e-06
1.57285e+07,1.96608e+06,3.01149e+07,-11.5136,-0.0714352,-0.0116831,-0.0597457,-6.32942e-06
1.76946e+07,1.96608e+06,2.98194e+07,-11.5071,-0.0713937,-0.0116763,-0.0597109,-6.5444e-06
1.96607e+07,1.96608e+06,2.95304e+07,-11.5073,-0.0713939,-0.0116763,-0.0597109,-6.76414e-06
2.16268e+07,1.96608e+06,2.9252e+07,-11.5001,-0.0713478,-0.0116687,-0.0596721,-6.97687e-06
2.35928e+07,1.96608e+06,2.89757e+07,-11.5003,-0.071348,-0.0116687,-0.0596721,-7.19475e-06
2.55589e+07,1.96608e+06,2.87076e+07,-11.4933,-0.0713039,-0.0116614,-0.059635,-7.40239e-06
2.7525e+07,1.96608e+06,2.84492e+07,-11.4935,-0.071304,-0.0116614,-0.059635,-7.58198e-06
2.94911e+07,1.96608e+06,2.82254e+07,-11.4263,-0.070886,-0.0115931,-0.0592853,-7.70069e-06
3.14572e+07,1.96608e+06,2.79819e+07,-11.4265,-0.0708862,-0.0115931,-0.0592853,-7.87416e-06
