Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
3.34232e+07,3.93216e+06,2.7512e+07,-11.3796,-0.0705935,-0.0115451,-0.0590402,-8.16343e-06
3.73554e+07,3840,2.75136e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.1566e-06
3.73592e+07,3840,2.75135e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15671e-06
3.73631e+07,3840,2.75133e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.1568e-06
3.73669e+07,3840,2.75133e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15686e-06
3.73708e+07,3840,2.75132e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15694e-06
3.73746e+07,3840,2.75131e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15702e-06
3.73784e+07,3840,2.75129e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15713e-06
3.73823e+07,3840,2.75127e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15727e-06
3.73861e+07,3840,2.75125e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15744e-06
3.739e+07,3840,2.75121e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15768e-06
3.73938e+07,7680,2.75117e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15798e-06
3.74015e+07,15360,2.75104e+07,-11.3699,-0.0705338,-0.0115354,-0.0589903,-8.15444e-06
3.74168e+07,30720,2.75071e+07,-11.3699,-0.0705338,-0.0115354,-0.0589902,-8.16744e-06
3.74476e+07,61440,2.75004e+07,-11.3699,-0.0705338,-0.0115354,-0.0589902,-8.17249e-06
3.7509e+07,122880,2.7491e+07,-11.3584,-0.0704625,-0.0115237,-0.0589306,-8.16456e-06
3.76319e+07,245760,2.74713e+07,-11.3585,-0.0704625,-0.0115237,-0.0589306,-8.1788e-06
3.78776e+07,491520,2.74487e+07,-11.3585,-0.0704625,-0.0115237,-0.0589306,-8.19978e-06
3.83692e+07,983040,2.74297e+07,-11.3585,-0.0704626,-0.0115237,-0.0589306,-8.22882e-06
3.93522e+07,1.93536e+06,2.74035e+07,-11.3586,-0.0704626,-0.0115237,-0.0589306,-8.27485e-06
4.12876e+07,3.87072e+06,2.73145e+07,-11.3587,-0.0704627,-0.0115237,-0.0589306,-8.38305e-06
4.51583e+07,3.87072e+06,2.71952e+07,-11.3562,-0.0704466,-0.011521,-0.058917,-8.56954e-06
4.9029e+07,5.616e+06,2.69489e+07,-11.3527,-0.0704132,-0.0115152,-0.0588872,-1.07934e-05
5.4645e+07,5.616e+06,2.65508e+07,-11.3578,-0.0703677,-0.0115054,-0.0588368,-2.55086e-05
6.0261e+07,2.8542e+06,2.63411e+07,-11.2672,-0.0697229,-0.0113973,-0.0582843,-4.12604e-05
6.31152e+07,5.616e+06,2.57009e+07,-11.3944,-0.0698493,-0.0113973,-0.0582843,-0.000167708
6.87312e+07,5.616e+06,2.54317e+07,-10.7405,-0.0647439,-0.0105296,-0.053847,-0.000367317
7.43472e+07,5.616e+06,2.52115e+07,-10.1458,-0.0598235,-0.00968646,-0.0495352,-0.000601848
7.99632e+07,2.808e+06,2.55032e+07,-9.25137,-0.0538329,-0.00869293,-0.0444545,-0.000685494
8.27712e+07,2.808e+06,2.57027e+07,-8.6253,-0.0495566,-0.00798132,-0.0408153,-0.000759913
8.55792e+07,2.808e+06,2.58074e+07,-8.21304,-0.046621,-0.00748942,-0.0382998,-0.000831748
8.83872e+07,2.808e+06,2.55938e+07,-8.32678,-0.0467341,-0.00748942,-0.0382998,-0.000944868
9.11952e+07,1.404e+06,2.51802e+07,-8.8487,-0.0494163,-0.00791073,-0.0404544,-0.00105122
9.25992e+07,1.404e+06,2.52868e+07,-8.4584,-0.046927,-0.00750149,-0.0383616,-0.00106393
9.40032e+07,1.404e+06,2.51449e+07,-8.5172,-0.0469855,-0.00750149,-0.0383616,-0.00112241
9.54072e+07,1.404e+06,2.44653e+07,-9.42562,-0.0517842,-0.00826018,-0.0422414,-0.00128268
9.68112e+07,1.404e+06,2.42704e+07,-9.49544,-0.0518537,-0.00826019,-0.0422414,-0.0013521
9.82152e+07,1.404e+06,2.40922e+07,-9.56706,-0.051925,-0.00826019,-0.0422415,-0.00142333
9.96192e+07,1.404e+06,2.33053e+07,-10.6813,-0.0577439,-0.00917769,-0.0469334,-0.00163273
1.01023e+08,1.404e+06,2.30899e+07,-10.7708,-0.0578328,-0.00917768,-0.0469334,-0.00172175
1.02427e+08,1.404e+06,2.28892e+07,-10.8622,-0.0579237,-0.00917769,-0.0469334,-0.00181259
1.03831e+08,1.404e+06,2.18087e+07,-11.8911,-0.0618233,-0.0099013,-0.0497724,-0.00214963
1.05235e+08,1.404e+06,2.11793e+07,-12.0631,-0.0616008,-0.0099013,-0.0493681,-0.00233136
1.06639e+08,1.404e+06,2.0646e+07,-12.2049,-0.0621234,-0.00990119,-0.0497601,-0.0024621
1.08043e+08,2.808e+06,1.98924e+07,-12.6048,-0.06444,-0.010068,-0.0517042,-0.00266787
1.10851e+08,2.808e+06,1.93278e+07,-12.7986,-0.0646135,-0.010068,-0.0516844,-0.00286109
1.13659e+08,1.404e+06,2.03041e+07,-11.4267,-0.0567521,-0.00894374,-0.0451909,-0.00261751
1.15063e+08,1.404e+06,2.00319e+07,-11.5842,-0.0575258,-0.00894347,-0.0458246,-0.00275774
1.16467e+08,1.404e+06,1.95433e+07,-11.9743,-0.0591882,-0.00914952,-0.0471006,-0.00293801
1.17871e+08,1.404e+06,1.93011e+07,-12.0671,-0.0591528,-0.00914938,-0.0469695,-0.00303388
1.19275e+08,1.404e+06,1.90472e+07,-12.1682,-0.0592246,-0.0091495,-0.04694,-0.00313509
1.20679e+08,1.404e+06,1.97565e+07,-11.2164,-0.053764,-0.00838274,-0.0424261,-0.00295516
1.22083e+08,1.404e+06,1.9534e+07,-11.3655,-0.0543745,-0.00838264,-0.0429008,-0.00309104
1.23487e+08,1.404e+06,1.98733e+07,-10.8873,-0.0514736,-0.00796121,-0.0404771,-0.00303531
1.24891e+08,1.3392e+06,1.96884e+07,-11.0158,-0.0518765,-0.0079612,-0.0407596,-0.00315572
1.2623e+08,1.3392e+06,1.95082e+07,-11.1212,-0.0520267,-0.00796116,-0.0408063,-0.00325929
1.2757e+08,2.6784e+06,1.96845e+07,-10.7647,-0.0494868,-0.00756949,-0.0386242,-0.0032931
1.30248e+08,5.3568e+06,1.8963e+07,-11.1627,-0.0500559,-0.00756947,-0.0388022,-0.00368427
1.35605e+08,5.3568e+06,1.99703e+07,-9.94707,-0.0429511,-0.00647899,-0.0329206,-0.00355152
1.40962e+08,5.3568e+06,2.01794e+07,-9.62787,-0.0403319,-0.00600269,-0.0306325,-0.00369674
1.46318e+08,5.616e+06,2.03216e+07,-9.3595,-0.0379117,-0.00557803,-0.0284886,-0.00384509
1.51934e+08,5.616e+06,2.03933e+07,-9.15925,-0.0358568,-0.00521322,-0.0266408,-0.00400282
1.5755e+08,237600,2.12512e+07,-8.19589,-0.0315106,-0.00473611,-0.0232371,-0.00353741
1.57788e+08,237600,2.1618e+07,-7.90695,-0.0306696,-0.0045668,-0.0226954,-0.00340739
1.58026e+08,475200,2.16003e+07,-8.02324,-0.030846,-0.00456602,-0.0227579,-0.00352205
