Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
3.74168e+07,30720,2.70837e+07,-11.4006,-0.0707225,-0.0115662,-0.0591479,-8.46275e-06
3.74476e+07,61440,2.70767e+07,-11.4006,-0.0707225,-0.0115662,-0.0591479,-8.46744e-06
3.7509e+07,122880,2.70601e+07,-11.4064,-0.0707582,-0.011572,-0.0591777,-8.47397e-06
3.76319e+07,245760,2.7033e+07,-11.4064,-0.0707583,-0.011572,-0.0591777,-8.49019e-06
3.78776e+07,491520,2.69915e+07,-11.4064,-0.0707583,-0.011572,-0.0591777,-8.51804e-06
3.83692e+07,983040,2.69397e+07,-11.4064,-0.0707583,-0.011572,-0.0591777,-8.56161e-06
3.93522e+07,1.93536e+06,2.68788e+07,-11.4065,-0.0707584,-0.011572,-0.0591777,-8.62728e-06
4.12876e+07,3.87072e+06,2.67757e+07,-11.4066,-0.0707585,-0.011572,-0.0591777,-8.73123e-06
4.51583e+07,3.87072e+06,2.66654e+07,-11.4083,-0.0707683,-0.0115736,-0.0591859,-8.82334e-06
4.9029e+07,5.616e+06,2.64834e+07,-11.4108,-0.0707833,-0.0115761,-0.0591983,-8.9448e-06
5.4645e+07,5.616e+06,2.62885e+07,-11.4146,-0.0708065,-0.0115798,-0.0592177,-9.05652e-06
6.0261e+07,2.8542e+06,2.61714e+07,-11.4643,-0.0711146,-0.0116302,-0.0594752,-9.14928e-06
6.31152e+07,5.616e+06,2.59642e+07,-11.4644,-0.0711147,-0.0116302,-0.0594752,-9.25004e-06
6.87312e+07,5.616e+06,2.55842e+07,-11.8817,-0.0737024,-0.0120534,-0.0616393,-9.73535e-06
7.43472e+07,5.616e+06,2.52028e+07,-12.2848,-0.0762001,-0.0124618,-0.0637278,-1.05103e-05
7.99632e+07,2.808e+06,2.49126e+07,-12.7537,-0.0791065,-0.012937,-0.0661581,-1.13175e-05
