Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
9.54072e+07,1.404e+06,4.02087e+07,15.1462,0.0150627,0,0,0.0150627
9.68112e+07,1.404e+06,4.01563e+07,15.1462,0.0150627,0,0,0.0150627
9.82152e+07,1.404e+06,4.01015e+07,15.1462,0.0150627,0,0,0.0150627
9.96192e+07,1.404e+06,4.00524e+07,15.1804,0.0150967,0,0,0.0150967
1.01023e+08,1.404e+06,3.99909e+07,15.1804,0.0150967,0,0,0.0150967
1.02427e+08,1.404e+06,3.99324e+07,15.1804,0.0150967,0,0,0.0150967
1.03831e+08,1.404e+06,3.98857e+07,15.2249,0.0151409,0,0,0.0151409
1.05235e+08,1.404e+06,3.98198e+07,15.2249,0.0151409,0,0,0.0151409
1.06639e+08,1.404e+06,3.97522e+07,15.2249,0.0151409,0,0,0.0151409
1.08043e+08,2.808e+06,3.96461e+07,15.2873,0.015203,0,0,0.015203
1.10851e+08,2.808e+06,3.95153e+07,15.2873,0.015203,0,0,0.015203
1.13659e+08,1.404e+06,3.9475e+07,15.3325,0.0152479,0,0,0.0152479
1.15063e+08,1.404e+06,3.94185e+07,15.3325,0.0152479,0,0,0.0152479
1.16467e+08,1.404e+06,3.93607e+07,15.3385,0.0152539,0,0,0.0152539
1.17871e+08,1.404e+06,3.92995e+07,15.3385,0.0152539,0,0,0.0152539
1.19275e+08,1.404e+06,3.92382e+07,15.3385,0.0152539,0,0,0.0152539
1.20679e+08,1.404e+06,3.92062e+07,15.3822,0.0152974,0,0,0.0152974
1.22083e+08,1.404e+06,3.91635e+07,15.3822,0.0152974,0,0,0.0152974
1.23487e+08,1.404e+06,3.91391e+07,15.408,0.015323,0,0,0.015323
1.24891e+08,1.3392e+06,3.91095e+07,15.408,0.015323,0,0,0.015323
1.2623e+08,1.3392e+06,3.90801e+07,15.408,0.015323,0,0,0.015323
1.2757e+08,2.6784e+06,3.90457e+07,15.4246,0.0153395,0,0,0.0153395
1.30248e+08,5.3568e+06,3.89579e+07,15.4246,0.0153395,0,0,0.0153395
1.35605e+08,5.3568e+06,3.86236e+07,14.7246,0.0146434,0,0,0.0146434
1.40962e+08,5.3568e+06,3.83714e+07,14.2224,0.014144,0,0,0.014144
1.46318e+08,5.616e+06,3.81398e+07,13.7661,0.0136902,0,0,0.0136902
1.51934e+08,5.616e+06,3.79431e+07,13.3902,0.0133163,0,0,0.0133163
1.5755e+08,237600,3.77694e+07,12.91,0.0128389,0,0,0.0128389
1.57788e+08,237600,3.76992e+07,12.7544,0.0126841,0,0,0.0126841
1.58026e+08,475200,3.76782e+07,12.7544,0.0126841,0,0,0.0126841
