Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
3.34232e+07,3.93216e+06,2.71076e+07,-11.4462,-0.0710057,-0.0116125,-0.0593847,-8.43253e-06
3.73554e+07,3840,2.71058e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43868e-06
3.73592e+07,3840,2.71053e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43891e-06
3.73631e+07,3840,2.7105e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43907e-06
3.73669e+07,3840,2.71048e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43917e-06
3.73708e+07,3840,2.71046e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43928e-06
3.73746e+07,3840,2.71043e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43941e-06
3.73784e+07,3840,2.7104e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43956e-06
3.73823e+07,3840,2.71037e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43973e-06
3.73861e+07,3840,2.71033e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.43994e-06
3.739e+07,3840,2.71028e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.44021e-06
3.73938e+07,7680,2.71022e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.44051e-06
3.74015e+07,15360,2.71008e+07,-11.4542,-0.0710555,-0.0116207,-0.0594265,-8.43741e-06
3.74168e+07,30720,2.70975e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.44882e-06
3.74476e+07,61440,2.70911e+07,-11.4542,-0.0710555,-0.0116207,-0.0594264,-8.45306e-06
3.7509e+07,122880,2.70757e+07,-11.46,-0.0710912,-0.0116265,-0.0594562,-8.45889e-06
3.76319e+07,245760,2.70509e+07,-11.46,-0.0710912,-0.0116265,-0.0594562,-8.47335e-06
3.78776e+07,491520,2.70143e+07,-11.46,-0.0710912,-0.0116265,-0.0594562,-8.49757e-06
3.83692e+07,983040,2.69753e+07,-11.4601,-0.0710913,-0.0116265,-0.0594562,-8.5327e-06
3.93522e+07,1.93536e+06,2.69334e+07,-11.4601,-0.0710913,-0.0116265,-0.0594562,-8.58348e-06
4.12876e+07,3.87072e+06,2.6835e+07,-11.4602,-0.0710914,-0.0116265,-0.0594562,-8.67362e-06
4.51583e+07,3.87072e+06,2.67162e+07,-11.4613,-0.0710981,-0.0116276,-0.0594618,-8.75912e-06
4.9029e+07,5.616e+06,2.65114e+07,-11.4648,-0.0711189,-0.011631,-0.0594791,-8.88093e-06
5.4645e+07,5.616e+06,2.62864e+07,-11.4709,-0.0711562,-0.011637,-0.0595101,-8.99882e-06
6.0261e+07,2.8542e+06,2.61452e+07,-11.5278,-0.0715089,-0.0116947,-0.0598051,-9.10124e-06
6.31152e+07,5.616e+06,2.58766e+07,-11.5279,-0.071509,-0.0116947,-0.0598051,-9.23029e-06
6.87312e+07,5.616e+06,2.53091e+07,-11.9665,-0.0742275,-0.0121392,-0.0620783,-9.94044e-06
7.43472e+07,5.616e+06,2.46072e+07,-12.3982,-0.076889,-0.012574,-0.0643016,-1.33864e-05
7.99632e+07,2.808e+06,2.403e+07,-12.9103,-0.0799471,-0.0130923,-0.0668368,-1.80555e-05
8.27712e+07,2.808e+06,2.30617e+07,-13.2686,-0.0811508,-0.0134634,-0.067648,-3.94006e-05
8.55792e+07,2.808e+06,2.2067e+07,-13.4813,-0.0826586,-0.0135756,-0.0689614,-0.000121539
8.83872e+07,2.808e+06,2.12349e+07,-13.6581,-0.0831622,-0.0135756,-0.069298,-0.0002886
9.11952e+07,1.404e+06,2.2488e+07,-11.4211,-0.0686416,-0.0113023,-0.0570318,-0.000307487
9.25992e+07,1.404e+06,2.20633e+07,-12.0077,-0.0722657,-0.0117519,-0.060083,-0.000430733
9.40032e+07,1.404e+06,2.18231e+07,-12.1157,-0.0724526,-0.0117519,-0.0601647,-0.000535951
9.54072e+07,1.404e+06,2.23641e+07,-11.1412,-0.065872,-0.0107312,-0.0545642,-0.000576592
9.68112e+07,1.404e+06,2.22091e+07,-11.257,-0.0662929,-0.0107312,-0.0548782,-0.000683477
9.82152e+07,1.404e+06,2.20162e+07,-11.3619,-0.0664945,-0.0107312,-0.0549781,-0.00078517
9.96192e+07,1.404e+06,2.08384e+07,-12.6858,-0.0740836,-0.0118475,-0.0612423,-0.0009938
1.01023e+08,1.404e+06,2.04649e+07,-12.7843,-0.0737997,-0.0118475,-0.0608501,-0.00110211
1.02427e+08,1.404e+06,2.01223e+07,-12.8891,-0.0738005,-0.0118475,-0.0607439,-0.00120914
1.03831e+08,1.404e+06,2.09588e+07,-11.5627,-0.0652295,-0.0105678,-0.0534998,-0.00116183
1.05235e+08,1.404e+06,2.07463e+07,-11.7054,-0.0658568,-0.0105678,-0.0539983,-0.00129062
1.06639e+08,1.404e+06,2.04697e+07,-11.8376,-0.0661225,-0.0105677,-0.0541362,-0.00141861
1.08043e+08,2.808e+06,1.92166e+07,-12.7166,-0.0700316,-0.0111013,-0.0571682,-0.00176212
1.10851e+08,2.808e+06,1.82963e+07,-13.0356,-0.0703437,-0.0111012,-0.057163,-0.00207959
1.13659e+08,1.404e+06,1.80062e+07,-13.0275,-0.0693768,-0.0109529,-0.0562018,-0.00222212
1.15063e+08,1.404e+06,1.75219e+07,-13.2281,-0.069639,-0.0109525,-0.0562662,-0.00242031
1.16467e+08,1.404e+06,1.81164e+07,-12.3578,-0.0636117,-0.0101268,-0.0510964,-0.00238847
1.17871e+08,1.404e+06,1.77295e+07,-12.589,-0.0646131,-0.0101255,-0.0518889,-0.0025987
1.19275e+08,1.404e+06,1.73138e+07,-12.7944,-0.0650066,-0.0101267,-0.0520832,-0.00279683
1.20679e+08,1.404e+06,1.83347e+07,-11.6551,-0.0577977,-0.00915584,-0.0459977,-0.00264417
1.22083e+08,1.404e+06,1.80607e+07,-11.8625,-0.0587541,-0.00915566,-0.0467681,-0.00283039
1.23487e+08,1.404e+06,1.8559e+07,-11.3,-0.0552468,-0.00863372,-0.0438237,-0.00278941
1.24891e+08,1.3392e+06,1.83337e+07,-11.4727,-0.0558792,-0.00863369,-0.0442967,-0.0029488
1.2623e+08,1.3392e+06,1.8091e+07,-11.6206,-0.0562261,-0.0086336,-0.0445019,-0.00309058
1.2757e+08,2.6784e+06,1.83393e+07,-11.2223,-0.0530465,-0.00816403,-0.041718,-0.00316448
1.30248e+08,5.3568e+06,1.75383e+07,-11.6676,-0.0538104,-0.008164,-0.0420477,-0.00359871
1.35605e+08,5.3568e+06,1.84775e+07,-10.6506,-0.0471957,-0.00717945,-0.0364497,-0.00356648
1.40962e+08,5.3568e+06,1.85958e+07,-10.4695,-0.0453412,-0.00681503,-0.0347882,-0.00373796
1.46318e+08,5.616e+06,1.8693e+07,-10.307,-0.0436308,-0.00650803,-0.0332464,-0.00387638
1.51934e+08,5.616e+06,1.87685e+07,-10.1693,-0.0421866,-0.00625182,-0.0319446,-0.00399013
1.5755e+08,237600,1.94156e+07,-9.50585,-0.0385986,-0.00590466,-0.0289926,-0.0037013
1.57788e+08,237600,1.96755e+07,-9.32942,-0.0378092,-0.00579159,-0.0283802,-0.0036375
1.58026e+08,475200,1.96251e+07,-9.43941,-0.0385685,-0.00579042,-0.0290477,-0.00373036
