Var1	Var2
-250	0
-249.749874937469	0
-249.499749874937	0
-249.249624812406	0
-248.999499749875	0
-248.749374687344	0
-248.499249624812	0
-248.249124562281	0
-247.99899949975	0
-247.748874437219	0
-247.498749374687	0
-247.248624312156	0
-246.998499249625	0
-246.748374187094	0
-246.498249124562	0
-246.248124062031	0
-245.9979989995	0
-245.747873936968	0
-245.497748874437	0
-245.247623811906	0
-244.997498749375	0
-244.747373686843	0
-244.497248624312	0
-244.247123561781	0
-243.99699849925	0
-243.746873436718	0
-243.496748374187	0
-243.246623311656	0
-242.996498249125	0
-242.746373186593	0
-242.496248124062	0
-242.246123061531	0
-241.995997999	0
-241.745872936468	0
-241.495747873937	0
-241.245622811406	0
-240.995497748874	0
-240.745372686343	0
-240.495247623812	0
-240.245122561281	0
-239.994997498749	0
-239.744872436218	0
-239.494747373687	0
-239.244622311156	0
-238.994497248624	0
-238.744372186093	0
-238.494247123562	0
-238.244122061031	0
-237.993996998499	0
-237.743871935968	0
-237.493746873437	0
-237.243621810905	0
-236.993496748374	0
-236.743371685843	0
-236.493246623312	0
-236.24312156078	0
-235.992996498249	0
-235.742871435718	0
-235.492746373187	0
-235.242621310655	0
-234.992496248124	0
-234.742371185593	0
-234.492246123062	0
-234.24212106053	0
-233.991995997999	0
-233.741870935468	0
-233.491745872936	0
-233.241620810405	0
-232.991495747874	0
-232.741370685343	0
-232.491245622811	0
-232.24112056028	0
-231.990995497749	0
-231.740870435218	0
-231.490745372686	0
-231.240620310155	0
-230.990495247624	0
-230.740370185093	0
-230.490245122561	0
-230.24012006003	0
-229.989994997499	0
-229.739869934967	0
-229.489744872436	0
-229.239619809905	0
-228.989494747374	0
-228.739369684842	0
-228.489244622311	0
-228.23911955978	0
-227.988994497249	0
-227.738869434717	0
-227.488744372186	0
-227.238619309655	0
-226.988494247124	0
-226.738369184592	0
-226.488244122061	0
-226.23811905953	0
-225.987993996999	0
-225.737868934467	0
-225.487743871936	0
-225.237618809405	0
-224.987493746873	0
-224.737368684342	0
-224.487243621811	0
-224.23711855928	0
-223.986993496748	0
-223.736868434217	0
-223.486743371686	0
-223.236618309155	0
-222.986493246623	0
-222.736368184092	0
-222.486243121561	0
