101352.972		1.244265613	1.11382E-05
1910429.131		0.064511474	1.17066E-05
3719505.291		0.032417967	1.22909E-05
5528581.45		0.021370455	1.28908E-05
7337657.609		0.015808141	1.35058E-05
9146733.771		0.012481217	1.41353E-05
10955809.93		0.010286249	1.47788E-05
12764886.09		0.008744826	1.54357E-05
14573962.25		0.007615271	1.61053E-05
16383038.41		0.006761697	1.67868E-05
18192114.56		0.006101324	1.74796E-05
20001190.73		0.005580549	1.81827E-05
21810266.88		0.00516303	1.88952E-05
23619343.04		0.004823289	1.96163E-05
25428419.2		0.004543024	2.03448E-05
27237495.36		0.004308856	2.10798E-05
29046571.52		0.004110861	2.18203E-05
30855647.68		0.003941592	2.2565E-05
32664723.84		0.003795398	2.33129E-05
34473800		0.00366794	2.40627E-05
