Time,"elementCenter:0","elementCenter:1","elementCenter:2","temperature"
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,nan,nan,nan,nan
50000,0.07071,0.072112,0.05,-19.355
50000,0.07071,0.072112,0.05,-19.355
50000,0.07211,0.07354,0.05,-18.09
50000,0.07351,0.074968,0.05,-16.848
50000,0.075155,0.076646,0.05,-15.415
50000,0.075155,0.076646,0.05,-15.415
50000,0.077046,0.078574,0.05,-13.807
50000,0.077046,0.078574,0.05,-13.807
50000,0.078936,0.080501,0.05,-12.236
50000,0.078936,0.080501,0.05,-12.236
50000,0.080826,0.082429,0.05,-10.701
50000,0.080826,0.082429,0.05,-10.701
50000,0.082716,0.084357,0.05,-9.2003
50000,0.082716,0.084357,0.05,-9.2003
50000,0.084607,0.086285,0.05,-7.7316
50000,0.084607,0.086285,0.05,-7.7316
50000,0.086497,0.088212,0.05,-6.294
50000,0.086497,0.088212,0.05,-6.294
50000,0.088387,0.09014,0.05,-4.8861
50000,0.088387,0.09014,0.05,-4.8861
50000,0.090278,0.092068,0.05,-3.5069
50000,0.090278,0.092068,0.05,-3.5069
50000,0.092168,0.093995,0.05,-2.1551
50000,0.092168,0.093995,0.05,-2.1551
50000,0.094031,0.095896,0.05,-0.84874
50000,0.095885,0.097786,0.05,0.42708
50000,0.095885,0.097786,0.05,0.42708
50000,0.097776,0.099715,0.05,1.7039
50000,0.097776,0.099715,0.05,1.7039
50000,0.099704,0.10168,0.05,2.9817
50000,0.099704,0.10168,0.05,2.9817
50000,0.10167,0.10369,0.05,4.2604
50000,0.10167,0.10369,0.05,4.2604
50000,0.10368,0.10573,0.05,5.54
50000,0.10368,0.10573,0.05,5.54
50000,0.10572,0.10782,0.05,6.8204
50000,0.10572,0.10782,0.05,6.8204
50000,0.10781,0.10995,0.05,8.1016
50000,0.10781,0.10995,0.05,8.1016
50000,0.10993,0.11211,0.05,9.3835
50000,0.10993,0.11211,0.05,9.3835
50000,0.10993,0.11211,0.05,9.3835
50000,0.1121,0.11433,0.05,10.666
50000,0.1121,0.11433,0.05,10.666
50000,0.11432,0.11658,0.05,11.949
50000,0.11432,0.11658,0.05,11.949
50000,0.11657,0.11888,0.05,13.233
50000,0.11657,0.11888,0.05,13.233
50000,0.11887,0.12123,0.05,14.517
50000,0.11887,0.12123,0.05,14.517
50000,0.11887,0.12123,0.05,14.517
50000,0.12122,0.12362,0.05,15.801
50000,0.12122,0.12362,0.05,15.801
50000,0.12361,0.12607,0.05,17.086
50000,0.12361,0.12607,0.05,17.086
50000,0.12361,0.12607,0.05,17.086
50000,0.12605,0.12855,0.05,18.371
50000,0.12605,0.12855,0.05,18.371
50000,0.12854,0.13109,0.05,19.655
50000,0.12854,0.13109,0.05,19.655
50000,0.12854,0.13109,0.05,19.655
50000,0.13108,0.13368,0.05,20.94
50000,0.13108,0.13368,0.05,20.94
50000,0.13367,0.13632,0.05,22.225
50000,0.13367,0.13632,0.05,22.225
50000,0.13367,0.13632,0.05,22.225
50000,0.13631,0.13901,0.05,23.51
50000,0.13631,0.13901,0.05,23.51
50000,0.13631,0.13901,0.05,23.51
50000,0.139,0.14176,0.05,24.794
50000,0.139,0.14176,0.05,24.794
50000,0.14175,0.14456,0.05,26.077
50000,0.14175,0.14456,0.05,26.077
50000,0.14175,0.14456,0.05,26.077
50000,0.14455,0.14742,0.05,27.36
50000,0.14455,0.14742,0.05,27.36
50000,0.14455,0.14742,0.05,27.36
50000,0.1474,0.15033,0.05,28.642
50000,0.1474,0.15033,0.05,28.642
50000,0.1474,0.15033,0.05,28.642
50000,0.15032,0.1533,0.05,29.924
50000,0.15032,0.1533,0.05,29.924
50000,0.15032,0.1533,0.05,29.924
50000,0.15329,0.15633,0.05,31.204
50000,0.15329,0.15633,0.05,31.204
50000,0.15329,0.15633,0.05,31.204
50000,0.15632,0.15942,0.05,32.483
50000,0.15632,0.15942,0.05,32.483
