"ghostRank","TotalDisplacement:0","TotalDisplacement:1","TotalDisplacement:2","Velocity:0","Velocity:1","Velocity:2","Acceleration:0","Acceleration:1","Acceleration:2","externalForce:0","externalForce:1","externalForce:2","Mass","contactForce:0","contactForce:1","contactForce:2","PoromechanicsSolver_TotalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","PoromechanicsSolver_pressure_dofIndex","pressure","elementVolume","elementCenter:0","elementCenter:1","elementCenter:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,0.24173,0.13222,8.0213e-31,2.6684e-09,1.4501e-09,-8.2004e-32,0,0,0,0,0,0,5.708e+07,0,0,0,3131,1e-18,1e-18,1e-18,0.3,0.29999,-6.2348e+07,-6.7869e+07,-6.0033e+07,-1.9458e-07,2.5236e-07,-3.634e+06,1004.2,93756,2.0148e+07,36312,87.893,143.1,1500,1,180.13,83.236,144,2000
-2,0.24352,0.13261,-8.125e-31,2.7133e-09,1.4658e-09,8.4263e-32,0,0,0,0,0,0,5.7071e+07,0,0,0,3135,1e-18,1e-18,1e-18,0.3,0.29999,-6.2427e+07,-6.7786e+07,-6.0032e+07,-1.9229e-07,2.5129e-07,-3.7558e+06,1004.2,93757,2.0145e+07,36350,85.908,139.66,1500,1,187.06,79.772,138,2000
-2,0.24548,0.133,0,2.767e-09,1.4845e-09,0,0,0,0,0,0,0,5.7062e+07,0,0,0,3140,1e-18,1e-18,1e-18,0.3,0.29999,-6.2611e+07,-6.7593e+07,-6.0031e+07,-1.8982e-07,2.4709e-07,-4.0318e+06,1004.2,93759,2.014e+07,36425,81.936,132.76,1500,1,193.99,76.308,132,2000
-2,0.24764,0.13339,0,2.8323e-09,1.5074e-09,0,0,0,0,0,0,0,5.7053e+07,0,0,0,3145,1e-18,1e-18,1e-18,0.3,0.29999,-6.2847e+07,-6.7352e+07,-6.003e+07,-1.8664e-07,2.4329e-07,-4.3658e+06,1004.2,93761,2.0136e+07,36501,77.965,125.86,1500,1,200.92,72.844,126,2000
-2,0.25004,0.13377,0,2.9152e-09,1.5371e-09,0,0,0,0,0,0,0,5.7043e+07,0,0,0,3149,1e-18,1e-18,1e-18,0.3,0.29999,-6.3165e+07,-6.7033e+07,-6.003e+07,-1.8299e-07,2.4039e-07,-4.7883e+06,1004.2,93763,2.0136e+07,36576,73.994,118.97,1500,1,207.84,69.38,120,2000
-2,0.25276,0.13416,8.5062e-31,3.0281e-09,1.5796e-09,-9.3233e-32,0,0,0,0,0,0,5.7034e+07,0,0,0,3154,1e-18,1e-18,1e-18,0.3,0.29999,-6.3376e+07,-6.6829e+07,-6.0031e+07,-1.8011e-07,2.3913e-07,-5.0502e+06,1004.2,93764,2.014e+07,36614,72.009,115.52,1500,1,214.77,65.916,114,2000
-2,0.25597,0.13456,0,3.2155e-09,1.6559e-09,0,0,0,0,0,0,0,5.7025e+07,0,0,0,3158,1e-18,1e-18,1e-18,0.3,0.29999,-6.4003e+07,-6.6256e+07,-6.0039e+07,-1.7398e-07,2.3549e-07,-5.7532e+06,1004.2,93766,2.0177e+07,36689,68.038,108.62,1500,1,221.7,62.452,108,2000
-2,0.26025,0.13502,0,3.6657e-09,1.4341e-09,0,0,0,0,0,0,0,6.2848e+07,0,0,0,1872,1e-18,1e-18,1e-18,0.3,0.29995,-6.5993e+07,-6.5175e+07,-6.0175e+07,-1.4892e-07,2.2054e-07,-6.981e+06,1004.3,93768,2.0798e+07,36765,64.066,101.72,1500,1,228.63,58.988,102,2000
-2,0.2655,0.13317,-8.7303e-31,3.0834e-09,8.549e-10,9.9815e-32,0,0,0,0,0,0,8.1724e+07,0,0,0,2663,1e-18,1e-18,1e-18,0.3,0.30004,-6.7508e+07,-6.1626e+07,-5.987e+07,-1.748e-07,2.1568e-07,-6.1325e+06,1004.1,95702,1.9408e+07,54745,61.597,97.436,1500,1,235.56,55.524,96,2000
-2,0.26934,0.1301,8.8243e-31,2.8063e-09,8.4852e-10,-1.0202e-31,0,0,0,0,0,0,8.4766e+07,0,0,0,3392,1e-18,1e-18,1e-18,0.3,0.3,-6.8453e+07,-6.1633e+07,-6.0013e+07,-1.7325e-07,2.1645e-07,-4.2023e+06,1004.2,95703,2.0059e+07,54829,58.644,92.308,1500,1,242.49,52.06,90,2000
-2,0.27232,0.12704,-8.9167e-31,2.6661e-09,8.3007e-10,1.0425e-31,0,0,0,0,0,0,8.4752e+07,0,0,0,3395,1e-18,1e-18,1e-18,0.3,0.29999,-6.8105e+07,-6.2023e+07,-6.0019e+07,-1.6827e-07,2.1167e-07,-2.3675e+06,1004.2,95705,2.0087e+07,54996,52.738,82.051,1500,1,249.41,48.596,84,2000
-2,0.27486,0.124,0,2.5733e-09,8.1275e-10,0,0,0,0,0,0,0,8.4738e+07,0,0,0,3398,1e-18,1e-18,1e-18,0.3,0.29999,-6.7923e+07,-6.2202e+07,-6.0019e+07,-1.6701e-07,2.0908e-07,-1.8271e+06,1004.2,95706,2.0086e+07,55079,49.786,76.923,1500,1,256.34,45.132,78,2000
-2,0.27711,0.12095,0,2.5006e-09,7.9656e-10,0,0,0,0,0,0,0,8.4725e+07,0,0,0,3402,1e-18,1e-18,1e-18,0.3,0.29999,-6.7756e+07,-6.2364e+07,-6.0018e+07,-1.6834e-07,2.0621e-07,-1.3981e+06,1004.2,95707,2.0082e+07,55162,46.833,71.795,1500,1,263.27,41.668,72,2000
-2,0.27911,0.11791,-9.175e-31,2.4413e-09,7.8206e-10,1.1082e-31,0,0,0,0,0,0,8.4711e+07,0,0,0,3405,1e-18,1e-18,1e-18,0.3,0.3,-6.7604e+07,-6.251e+07,-6.0017e+07,-1.6778e-07,2.0364e-07,-1.0416e+06,1004.2,95708,2.0078e+07,55246,43.88,66.667,1500,1,270.2,38.204,66,2000
-2,0.28091,0.11485,-9.2639e-31,2.3912e-09,7.6907e-10,1.1299e-31,0,0,0,0,0,0,8.4698e+07,0,0,0,3408,1e-18,1e-18,1e-18,0.3,0.3,-6.7465e+07,-6.2644e+07,-6.0016e+07,-1.6638e-07,2.015e-07,-7.3569e+05,1004.2,95709,2.0074e+07,55329,40.927,61.538,1500,1,277.13,34.74,60,2000
-2,0.28254,0.1118,-9.3485e-31,2.3479e-09,7.5732e-10,1.1513e-31,0,0,0,0,0,0,8.4684e+07,0,0,0,3412,1e-18,1e-18,1e-18,0.3,0.3,-6.7336e+07,-6.2766e+07,-6.0015e+07,-1.647e-07,2.0005e-07,-4.6678e+05,1004.2,95710,2.007e+07,55413,37.974,56.41,1500,1,284.05,31.276,54,2000
-2,0.28399,0.10874,0,2.3102e-09,7.4668e-10,0,0,0,0,0,0,0,8.4671e+07,0,0,0,3415,1e-18,1e-18,1e-18,0.3,0.3,-6.7105e+07,-6.2986e+07,-6.0014e+07,-1.6282e-07,1.9667e-07,-7368.6,1004.2,95712,2.0062e+07,55579,32.068,46.154,1500,1,290.98,27.812,48,2000
-2,0.28531,0.10568,0,2.2766e-09,7.3687e-10,0,0,0,0,0,0,0,8.4657e+07,0,0,0,3419,1e-18,1e-18,1e-18,0.3,0.3,-6.6999e+07,-6.3086e+07,-6.0013e+07,-1.6055e-07,1.9509e-07,1.9363e+05,1004.2,95713,2.0058e+07,55663,29.115,41.026,1500,1,297.91,24.348,42,2000
-2,0.2865,0.10261,0,2.2464e-09,7.2773e-10,0,0,0,0,0,0,0,8.4643e+07,0,0,0,3422,1e-18,1e-18,1e-18,0.3,0.3,-6.6899e+07,-6.318e+07,-6.0012e+07,-1.588e-07,1.9387e-07,3.8021e+05,1004.2,95714,2.0054e+07,55746,26.162,35.897,1500,1,304.84,20.884,36,2000
-2,0.28757,0.099546,0,2.2188e-09,7.1914e-10,0,0,0,0,0,0,0,8.463e+07,0,0,0,3425,1e-18,1e-18,1e-18,0.3,0.3,-6.6804e+07,-6.327e+07,-6.0011e+07,-1.5776e-07,1.9209e-07,5.5486e+05,1004.2,95715,2.0051e+07,55830,23.21,30.769,1500,1,311.77,17.42,30,2000
-2,0.28854,0.096474,0,2.1936e-09,7.1102e-10,0,0,0,0,0,0,0,8.4616e+07,0,0,0,3429,1e-18,1e-18,1e-18,0.3,0.3,-6.6712e+07,-6.3356e+07,-6.001e+07,-1.5577e-07,1.9031e-07,7.1953e+05,1004.2,95716,2.0047e+07,55913,20.257,25.641,1500,1,318.7,13.956,24,2000
-2,0.2894,0.0934,0,2.1705e-09,7.033e-10,0,0,0,0,0,0,0,8.4603e+07,0,0,0,3432,1e-18,1e-18,1e-18,0.3,0.3,-6.6624e+07,-6.3439e+07,-6.001e+07,-1.5282e-07,1.89e-07,8.7577e+05,1004.2,95717,2.0043e+07,55996,17.304,20.513,1500,1,325.62,10.492,18,2000
-2,0.29015,0.090322,0,2.1493e-09,6.9593e-10,0,0,0,0,0,0,0,8.4589e+07,0,0,0,3435,1e-18,1e-18,1e-18,0.3,0.3,-6.6456e+07,-6.3596e+07,-6.0008e+07,-1.5013e-07,1.8726e-07,1.1678e+06,1004.2,95719,2.0036e+07,56163,11.398,10.256,1500,1,332.55,7.028,12,2000
-2,0.29081,0.087241,0,2.1297e-09,6.8883e-10,0,0,0,0,0,0,0,8.4576e+07,0,0,0,3438,1e-18,1e-18,1e-18,0.3,0.3,-6.6376e+07,-6.3672e+07,-6.0007e+07,-1.4986e-07,1.8673e-07,1.3054e+06,1004.2,95720,2.0033e+07,56247,8.4451,5.1282,1500,1,339.48,3.564,6,2000
-2,0.29139,0.084157,0,2.1114e-09,6.8196e-10,0,0,0,0,0,0,0,8.4562e+07,0,0,0,3442,1e-18,1e-18,1e-18,0.3,0.3,-6.6297e+07,-6.3745e+07,-6.0006e+07,-1.4872e-07,1.867e-07,1.4386e+06,1004.2,95721,2.0029e+07,56330,5.4922,1.9351e-13,1500,1,346.41,0.1,0,2000
-2,0.29187,0.081071,0,2.0944e-09,6.7528e-10,0,0,0,0,0,0,0,8.4549e+07,0,0,0,3445,1e-18,1e-18,1e-18,0.3,0.3,-6.6221e+07,-6.3817e+07,-6.0006e+07,-1.4822e-07,1.8719e-07,1.5678e+06,1004.2,95722,2.0026e+07,56413,2.5393,-5.1282,1500,1,353.34,-3.364,-6,2000
-2,0.29228,0.077982,1.0349e-30,2.0786e-09,6.6875e-10,-1.3824e-31,0,0,0,0,0,0,8.4535e+07,0,0,0,3448,1e-18,1e-18,1e-18,0.3,0.3,-6.6145e+07,-6.3888e+07,-6.0005e+07,-1.4858e-07,1.8742e-07,1.6937e+06,1004.2,95723,2.0022e+07,56497,-0.41362,-10.256,1500,1,360.26,-6.828,-12,2000
-2,0.2926,0.07489,1.0444e-30,2.0638e-09,6.6234e-10,-1.4031e-31,0,0,0,0,0,0,8.4522e+07,0,0,0,3452,1e-18,1e-18,1e-18,0.3,0.3,-6.5997e+07,-6.4026e+07,-6.0003e+07,-1.4677e-07,1.8916e-07,1.9374e+06,1004.2,95725,2.0016e+07,56663,-6.3194,-20.513,1500,1,367.19,-10.292,-18,2000
-2,0.29283,0.071795,0,2.0501e-09,6.5604e-10,0,0,0,0,0,0,0,8.4508e+07,0,0,0,3455,1e-18,1e-18,1e-18,0.3,0.3,-6.5924e+07,-6.4094e+07,-6.0003e+07,-1.4435e-07,1.9002e-07,2.056e+06,1004.2,95726,2.0012e+07,56747,-9.2723,-25.641,1500,1,374.12,-13.756,-24,2000
-2,0.29299,0.068698,1.062e-30,2.0373e-09,6.498e-10,-1.4439e-31,0,0,0,0,0,0,8.4495e+07,0,0,0,3458,1e-18,1e-18,1e-18,0.3,0.3,-6.5852e+07,-6.4162e+07,-6.0002e+07,-1.4322e-07,1.908e-07,2.173e+06,1004.2,95727,2.0009e+07,56830,-12.225,-30.769,1500,1,381.05,-17.22,-30,2000
