"ghostRank","TotalDisplacement:0","TotalDisplacement:1","TotalDisplacement:2","Velocity:0","Velocity:1","Velocity:2","Acceleration:0","Acceleration:1","Acceleration:2","externalForce:0","externalForce:1","externalForce:2","Mass","contactForce:0","contactForce:1","contactForce:2","PoromechanicsSolver_TotalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","PoromechanicsSolver_pressure_dofIndex","pressure","elementVolume","elementCenter:0","elementCenter:1","elementCenter:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,0.014189,0.12277,-2.6892e-31,-1.048e-10,1.5376e-09,-1.834e-31,0,0,0,0,0,0,8.4481e+07,0,0,0,3461,1e-18,1e-18,1e-18,0.3,0.30119,-5.8373e+07,-5.0576e+07,-5.6842e+07,-1.3247e-07,-1.415e-07,-2.6216e+06,1008.4,95728,4e+07,56914,-15.178,-35.897,1500,1,387.98,-20.684,-36,2000
-2,0.015888,0.11596,0,-1.2652e-10,1.5435e-09,0,0,0,0,0,0,0,8.4468e+07,0,0,0,3465,1e-18,1e-18,1e-18,0.3,0.30119,-5.8414e+07,-5.0535e+07,-5.6842e+07,-1.3296e-07,-1.3636e-07,-2.6763e+06,1008.4,95729,4e+07,56997,-18.131,-41.026,1500,1,394.9,-24.148,-42,2000
-2,0.017638,0.10916,0,-1.499e-10,1.5503e-09,0,0,0,0,0,0,0,8.4454e+07,0,0,0,3468,1e-18,1e-18,1e-18,0.3,0.30119,-5.8464e+07,-5.0485e+07,-5.6842e+07,-1.3318e-07,-1.3068e-07,-2.7421e+06,1008.4,95730,4e+07,57080,-21.084,-46.154,1500,1,401.83,-27.612,-48,2000
-2,0.019451,0.10235,-2.2158e-31,-1.7552e-10,1.5585e-09,-1.8126e-31,0,0,0,0,0,0,8.4441e+07,0,0,0,3471,1e-18,1e-18,1e-18,0.3,0.30119,-5.8595e+07,-5.0355e+07,-5.6843e+07,-1.3173e-07,-1.1775e-07,-2.915e+06,1008.4,95732,4e+07,57247,-26.99,-56.41,1500,1,408.76,-31.076,-54,2000
-2,0.021352,0.095552,0,-2.0443e-10,1.5685e-09,0,0,0,0,0,0,0,8.4427e+07,0,0,0,3474,1e-18,1e-18,1e-18,0.3,0.30119,-5.8682e+07,-5.0269e+07,-5.6843e+07,-1.2964e-07,-1.1001e-07,-3.0276e+06,1008.4,95733,4e+07,57331,-29.943,-61.538,1500,1,415.69,-34.54,-60,2000
-2,0.023354,0.088751,0,-2.3754e-10,1.5811e-09,0,0,0,0,0,0,0,8.4414e+07,0,0,0,3478,1e-18,1e-18,1e-18,0.3,0.30119,-5.8789e+07,-5.0164e+07,-5.6843e+07,-1.2558e-07,-1.0195e-07,-3.1633e+06,1008.4,95734,4e+07,57414,-32.895,-66.667,1500,1,422.62,-38.004,-66,2000
-2,0.025484,0.081951,-1.882e-31,-2.7664e-10,1.5974e-09,-1.7898e-31,0,0,0,0,0,0,8.4401e+07,0,0,0,3481,1e-18,1e-18,1e-18,0.3,0.30119,-5.8923e+07,-5.0034e+07,-5.6844e+07,-1.2041e-07,-9.4198e-08,-3.3285e+06,1008.4,95735,4e+07,57497,-35.848,-71.795,1500,1,429.55,-41.468,-72,2000
-2,0.02778,0.075151,0,-3.2479e-10,1.6194e-09,0,0,0,0,0,0,0,8.4387e+07,0,0,0,3484,1e-18,1e-18,1e-18,0.3,0.30119,-5.9096e+07,-4.9869e+07,-5.6845e+07,-1.1349e-07,-8.6984e-08,-3.5331e+06,1008.4,95736,4e+07,57581,-38.801,-76.923,1500,1,436.47,-44.932,-78,2000
-2,0.030302,0.068353,0,-3.8795e-10,1.651e-09,0,0,0,0,0,0,0,8.4374e+07,0,0,0,3487,1e-18,1e-18,1e-18,0.3,0.30119,-5.9327e+07,-4.9653e+07,-5.6847e+07,-1.0367e-07,-8.1472e-08,-3.7931e+06,1008.4,95737,4e+07,57664,-41.754,-82.051,1500,1,443.4,-48.396,-84,2000
-2,0.033176,0.06156,0,-4.8404e-10,1.7008e-09,0,0,0,0,0,0,0,8.436e+07,0,0,0,3490,1e-18,1e-18,1e-18,0.3,0.30118,-6.0226e+07,-4.8935e+07,-5.6874e+07,-7.9678e-08,-9.044e-08,-4.6216e+06,1008.4,95739,4e+07,57831,-47.66,-92.308,1500,1,450.33,-51.86,-90,2000
-2,0.036843,0.054793,1.6967e-31,-7.4805e-10,1.7943e-09,1.7533e-31,0,0,0,0,0,0,8.1308e+07,0,0,0,2747,1e-18,1e-18,1e-18,0.3,0.30113,-6.176e+07,-4.8303e+07,-5.7009e+07,-7.3473e-08,-1.1877e-07,-5.3723e+06,1008.4,95740,4e+07,57914,-50.613,-97.436,1500,1,457.26,-55.324,-96,2000
-2,0.041764,0.049211,0,-1.2251e-09,1.3166e-09,0,0,0,0,0,0,0,6.2509e+07,0,0,0,2219,1e-18,1e-18,1e-18,0.3,0.30004,-6.6358e+07,-6.2616e+07,-5.9846e+07,-6.5289e-08,-1.3377e-07,-5.0302e+06,1004,83648,1.9299e+07,38989,-53.082,-101.72,1500,1,464.19,-58.788,-102,2000
-2,0.045703,0.045841,1.7383e-31,-8.8238e-10,9.2898e-10,1.7228e-31,0,0,0,0,0,0,5.6698e+07,0,0,0,3756,1e-18,1e-18,1e-18,0.3,0.3,-6.7356e+07,-6.2645e+07,-6e+07,-4.3368e-08,-8.7548e-08,-2.4823e+06,1004.2,83650,2.0001e+07,39065,-57.053,-108.62,1500,1,471.11,-62.252,-108,2000
-2,0.048493,0.042459,0,-7.1884e-10,8.9442e-10,0,0,0,0,0,0,0,5.6689e+07,0,0,0,3761,1e-18,1e-18,1e-18,0.3,0.3,-6.7108e+07,-6.2952e+07,-6.0009e+07,-4.3978e-10,-7.2957e-08,-1.12e+06,1004.2,83652,2.0041e+07,39140,-61.024,-115.52,1500,1,478.04,-65.716,-114,2000
-2,0.050681,0.039087,-2.0942e-31,-6.2896e-10,8.6345e-10,-1.6967e-31,0,0,0,0,0,0,5.668e+07,0,0,0,3765,1e-18,1e-18,1e-18,0.3,0.3,-6.6954e+07,-6.3111e+07,-6.001e+07,-3.3493e-08,-7.6246e-08,-6.251e+05,1004.2,83653,2.0044e+07,39178,-63.01,-118.97,1500,1,484.97,-69.18,-120,2000
-2,0.052452,0.03572,0,-5.6274e-10,8.3652e-10,0,0,0,0,0,0,0,5.6671e+07,0,0,0,3770,1e-18,1e-18,1e-18,0.3,0.3,-6.6648e+07,-6.342e+07,-6.001e+07,-1.9796e-08,-8.1225e-08,1.7411e+05,1004.2,83655,2.0046e+07,39254,-66.981,-125.86,1500,1,491.9,-72.644,-126,2000
-2,0.05388,0.032355,0,-5.0908e-10,8.1194e-10,0,0,0,0,0,0,0,5.6662e+07,0,0,0,3774,1e-18,1e-18,1e-18,0.3,0.3,-6.6356e+07,-6.3712e+07,-6.001e+07,-4.9816e-08,-9.1508e-08,8.2423e+05,1004.2,83657,2.0047e+07,39329,-70.952,-132.76,1500,1,498.83,-76.108,-132,2000
-2,0.055004,0.028991,0,-4.6306e-10,7.8874e-10,0,0,0,0,0,0,0,5.6653e+07,0,0,0,3779,1e-18,1e-18,1e-18,0.3,0.3,-6.6074e+07,-6.3993e+07,-6.001e+07,-7.0303e-08,-9.885e-08,1.3914e+06,1004.2,83659,2.0046e+07,39404,-74.923,-139.66,1500,1,505.76,-79.572,-138,2000
-2,0.055826,0.025629,0,-4.2214e-10,7.6624e-10,0,0,0,0,0,0,0,5.6644e+07,0,0,0,3783,1e-18,1e-18,1e-18,0.3,0.3,-6.5935e+07,-6.4132e+07,-6.001e+07,-5.248e-08,-9.8083e-08,1.6559e+06,1004.2,83660,2.0046e+07,39442,-76.909,-143.1,1500,1,512.68,-83.036,-144,2000
-2,0.05638,0.022269,0,-3.8414e-10,7.4379e-10,0,0,0,0,0,0,0,5.6635e+07,0,0,0,3788,1e-18,1e-18,1e-18,0.3,0.3,-6.5657e+07,-6.4409e+07,-6.001e+07,-5.5856e-08,-9.7528e-08,2.1627e+06,1004.2,83662,2.0045e+07,39518,-80.88,-150,1500,1,519.61,-86.5,-150,2000
-2,0.05667,0.01891,0,-3.4781e-10,7.2085e-10,0,0,0,0,0,0,0,5.6626e+07,0,0,0,3792,1e-18,1e-18,1e-18,0.3,0.3,-6.537e+07,-6.4694e+07,-6.001e+07,-7.5947e-08,-9.7749e-08,2.6565e+06,1004.2,83664,2.0044e+07,39593,-84.851,-156.9,1500,1,526.54,-89.964,-156,2000
-2,0.056693,0.015553,0,-3.1209e-10,6.9682e-10,0,0,0,0,0,0,0,5.6617e+07,0,0,0,3797,1e-18,1e-18,1e-18,0.3,0.3,-6.5221e+07,-6.4843e+07,-6.001e+07,-5.6925e-08,-9.3678e-08,2.9042e+06,1004.2,83665,2.0043e+07,39631,-86.837,-160.34,1500,1,533.47,-93.428,-162,2000
-2,0.056415,0.012198,0,-2.7573e-10,6.7069e-10,0,0,0,0,0,0,0,5.6609e+07,0,0,0,3801,1e-18,1e-18,1e-18,0.3,0.3,-6.4902e+07,-6.5159e+07,-6.0009e+07,-2.2589e-08,-8.4833e-08,3.4125e+06,1004.2,83667,2.0041e+07,39706,-90.808,-167.24,1500,1,540.4,-96.892,-168,2000
-2,0.055834,0.0088455,2.6656e-31,-2.3722e-10,6.4129e-10,1.5536e-31,0,0,0,0,0,0,5.66e+07,0,0,0,3806,1e-18,1e-18,1e-18,0.3,0.3,-6.4539e+07,-6.5516e+07,-6.0008e+07,-4.1648e-08,-8.4801e-08,3.9571e+06,1004.2,83669,2.0038e+07,39782,-94.779,-174.14,1500,1,547.32,-100.36,-174,2000
-2,0.054911,0.0054966,0,-1.9423e-10,6.0662e-10,0,0,0,0,0,0,0,5.6591e+07,0,0,0,3810,1e-18,1e-18,1e-18,0.3,0.3,-6.4098e+07,-6.5945e+07,-6.0006e+07,-4.2571e-08,-8.5059e-08,4.5708e+06,1004.2,83671,2.003e+07,39857,-98.75,-181.03,1500,1,554.25,-103.82,-180,2000
-2,0.053569,0.0021532,0,-1.4152e-10,5.6266e-10,0,0,0,0,0,0,0,5.6582e+07,0,0,0,3814,1e-18,1e-18,1e-18,0.3,0.3,-6.3826e+07,-6.6204e+07,-6.0005e+07,-6.1814e-08,-8.8536e-08,4.9208e+06,1004.2,83672,2.0021e+07,39895,-100.74,-184.48,1500,1,561.18,-107.28,-186,2000
