r[m]	u[m]
0.2534594	-0.000260021
0.25685435	-0.000259105
0.2602493	-0.000258065
0.26364425	-0.000256911
0.2670392	-0.000255652
0.27043415	-0.000254296
0.2738291	-0.000252854
0.27722405	-0.000251332
0.280619	-0.000249737
0.28401395	-0.000248079
0.2874089	-0.000246362
0.29080385	-0.000244594
0.2941988	-0.00024278
0.29759375	-0.000240927
0.3009887	-0.00023904
0.30438365	-0.000237123
0.3077786	-0.000235182
0.31117355	-0.00023322
0.3145685	-0.000231241
0.31796345	-0.000229251
0.3213584	-0.000227251
0.32475335	-0.000225245
0.3281483	-0.000223236
0.33154325	-0.000221227
0.3349382	-0.00021922
0.33833315	-0.000217217
0.3417281	-0.000215221
0.34512305	-0.000213234
0.348518	-0.000211256
0.35191295	-0.00020929
0.3553079	-0.000207337
0.35870285	-0.000205398
0.3620978	-0.000203474
0.36549275	-0.000201566
0.3688877	-0.000199676
0.37228265	-0.000197803
0.3756776	-0.000195948
0.37907255	-0.000194113
0.3824675	-0.000192296
0.38586245	-0.0001905
0.3892574	-0.000188723
0.39265235	-0.000186966
0.3960473	-0.00018523
0.39944225	-0.000183515
0.4028372	-0.00018182
0.40623215	-0.000180145
0.4096271	-0.000178491
0.41302205	-0.000176858
0.416417	-0.000175245
0.41981195	-0.000173652
0.4232069	-0.000172079
0.42660185	-0.000170526
0.4299968	-0.000168994
0.43339175	-0.00016748
0.4367867	-0.000165987
0.44018165	-0.000164512
0.4435766	-0.000163056
0.44697155	-0.000161619
0.4503665	-0.0001602
0.45376145	-0.0001588
0.4571564	-0.000157417
0.46055135	-0.000156052
0.4639463	-0.000154704
0.46734125	-0.000153373
0.4707362	-0.000152059
0.47413115	-0.000150761
0.4775261	-0.00014948
0.48092105	-0.000148215
0.484316	-0.000146965
0.48771095	-0.000145731
0.4911059	-0.000144511
0.49450085	-0.000143307
0.4978958	-0.000142117
0.50129075	-0.000140942
0.5046857	-0.00013978
0.50808065	-0.000138633
0.5114756	-0.000137499
0.51487055	-0.000136378
0.5182655	-0.00013527
0.52166045	-0.000134176
0.5250554	-0.000133093
0.52845035	-0.000132024
0.5318453	-0.000130966
0.53524025	-0.00012992
0.5386352	-0.000128886
0.54203015	-0.000127864
0.5454251	-0.000126853
0.54882005	-0.000125853
0.552215	-0.000124864
0.55560995	-0.000123885
0.5590049	-0.000122917
0.56239985	-0.00012196
0.5657948	-0.000121012
0.56918975	-0.000120075
0.5725847	-0.000119147
0.57597965	-0.000118229
0.5793746	-0.000117321
0.58276955	-0.000116422
0.5861645	-0.000115532
0.58955945	-0.000114651
0.5929544	-0.000113778
0.59634935	-0.000112915
0.5997443	-0.00011206
0.60313925	-0.000111213
0.6065342	-0.000110375
0.60992915	-0.000109545
0.6133241	-0.000108722
0.61671905	-0.000107908
0.620114	-0.000107101
0.62350895	-0.000106302
0.6269039	-0.000105511
0.63029885	-0.000104726
0.6336938	-0.000103949
0.63708875	-0.000103179
0.6404837	-0.000102417
0.64387865	-0.000101661
0.6472736	-0.000100911
0.65066855	-0.000100169
0.6540635	-9.94331E-05
0.65745845	-9.87037E-05
0.6608534	-9.79806E-05
0.66424835	-9.72639E-05
0.6676433	-9.65533E-05
0.67103825	-9.58488E-05
0.6744332	-9.51504E-05
0.67782815	-9.44578E-05
0.6812231	-9.37711E-05
0.68461805	-9.30901E-05
0.688013	-9.24147E-05
0.69140795	-9.17449E-05
0.6948029	-9.10806E-05
0.69819785	-9.04218E-05
0.7015928	-8.97682E-05
0.70498775	-8.91199E-05
0.7083827	-8.84768E-05
0.71177765	-8.78388E-05
0.7151726	-8.72058E-05
0.71856755	-8.65777E-05
0.7219625	-8.59546E-05
0.72535745	-8.53362E-05
0.7287524	-8.47227E-05
0.73214735	-8.41138E-05
0.7355423	-8.35095E-05
0.73893725	-8.29098E-05
0.7423322	-8.23146E-05
0.74572715	-8.17238E-05
0.7491221	-8.11374E-05
0.75251705	-8.05553E-05
0.755912	-7.99774E-05
0.75930695	-7.94038E-05
0.7627019	-7.88343E-05
0.76609685	-7.82689E-05
0.7694918	-7.77075E-05
0.77288675	-7.71501E-05
0.7762817	-7.65966E-05
0.77967665	-7.6047E-05
0.7830716	-7.55013E-05
0.78646655	-7.49593E-05
0.7898615	-7.4421E-05
0.79325645	-7.38865E-05
0.7966514	-7.33555E-05
0.80004635	-7.28282E-05
0.8034413	-7.23043E-05
0.80683625	-7.1784E-05
0.8102312	-7.12671E-05
0.81362615	-7.07537E-05
0.8170211	-7.02436E-05
0.82041605	-6.97368E-05
0.823811	-6.92334E-05
0.82720595	-6.87331E-05
0.8306009	-6.82361E-05
0.83399585	-6.77422E-05
0.8373908	-6.72515E-05
0.84078575	-6.67638E-05
0.8441807	-6.62792E-05
0.84757565	-6.57977E-05
0.8509706	-6.5319E-05
0.85436555	-6.48434E-05
0.8577605	-6.43706E-05
0.86115545	-6.39008E-05
0.8645504	-6.34337E-05
0.86794535	-6.29695E-05
0.8713403	-6.2508E-05
0.87473525	-6.20493E-05
0.8781302	-6.15933E-05
0.88152515	-6.114E-05
0.8849201	-6.06893E-05
0.88831505	-6.02412E-05
0.89171	-5.97957E-05
0.89510495	-5.93528E-05
0.8984999	-5.89124E-05
0.90189485	-5.84745E-05
0.9052898	-5.80391E-05
0.90868475	-5.76061E-05
0.9120797	-5.71756E-05
0.91547465	-5.67474E-05
0.9188696	-5.63216E-05
0.92226455	-5.58982E-05
0.9256595	-5.5477E-05
0.92905445	-5.50581E-05
0.9324494	-5.46415E-05
0.93584435	-5.42272E-05
0.9392393	-5.3815E-05
0.94263425	-5.3405E-05
0.9460292	-5.29972E-05
0.94942415	-5.25916E-05
0.9528191	-5.2188E-05
0.95621405	-5.17866E-05
0.959609	-5.13872E-05
0.96300395	-5.09899E-05
0.9663989	-5.05946E-05
0.96979385	-5.02014E-05
0.9731888	-4.98101E-05
0.97658375	-4.94208E-05
0.9799787	-4.90334E-05
0.98337365	-4.86479E-05
0.9867686	-4.82644E-05
0.99016355	-4.78828E-05
0.9935585	-4.7503E-05
0.99695345	-4.7125E-05
1.0003484	-4.67489E-05
1.00374335	-4.63746E-05
1.0071383	-4.60022E-05
1.01053325	-4.56314E-05
1.0139282	-4.52625E-05
1.01732315	-4.48952E-05
1.0207181	-4.45297E-05
1.02411305	-4.41659E-05
1.027508	-4.38038E-05
1.03090295	-4.34434E-05
1.0342979	-4.30846E-05
1.03769285	-4.27275E-05
1.0410878	-4.2372E-05
1.04448275	-4.20181E-05
1.0478777	-4.16657E-05
1.05127265	-4.1315E-05
1.0546676	-4.09658E-05
1.05806255	-4.06182E-05
1.0614575	-4.02721E-05
1.06485245	-3.99275E-05
1.0682474	-3.95844E-05
1.07164235	-3.92428E-05
1.0750373	-3.89027E-05
1.07843225	-3.8564E-05
1.0818272	-3.82268E-05
1.08522215	-3.7891E-05
1.0886171	-3.75566E-05
1.09201205	-3.72237E-05
1.095407	-3.68921E-05
1.09880195	-3.65619E-05
1.1021969	-3.62331E-05
1.10559185	-3.59056E-05
1.1089868	-3.55795E-05
1.11238175	-3.52547E-05
1.1157767	-3.49312E-05
1.11917165	-3.46091E-05
1.1225666	-3.42882E-05
1.12596155	-3.39686E-05
1.1293565	-3.36503E-05
1.13275145	-3.33332E-05
1.1361464	-3.30174E-05
1.13954135	-3.27028E-05
1.1429363	-3.23895E-05
1.14633125	-3.20773E-05
1.1497262	-3.17664E-05
1.15312115	-3.14566E-05
1.1565161	-3.11481E-05
1.15991105	-3.08407E-05
1.163306	-3.05345E-05
1.16670095	-3.02294E-05
1.1700959	-2.99255E-05
1.17349085	-2.96227E-05
1.1768858	-2.9321E-05
1.18028075	-2.90204E-05
1.1836757	-2.87209E-05
1.18707065	-2.84226E-05
1.1904656	-2.81253E-05
1.19386055	-2.78291E-05
1.1972555	-2.75339E-05
1.20065045	-2.72399E-05
1.2040454	-2.69468E-05
1.20744035	-2.66548E-05
1.2108353	-2.63639E-05
1.21423025	-2.60739E-05
1.2176252	-2.5785E-05
1.22102015	-2.5497E-05
1.2244151	-2.52101E-05
1.22781005	-2.49242E-05
1.231205	-2.46392E-05
1.23459995	-2.43552E-05
1.2379949	-2.40722E-05
1.24138985	-2.37901E-05
1.2447848	-2.3509E-05
1.24817975	-2.32288E-05
1.2515747	-2.29495E-05
1.25496965	-2.26712E-05
1.2583646	-2.23938E-05
1.26175955	-2.21173E-05
1.2651545	-2.18417E-05
1.26854945	-2.1567E-05
1.2719444	-2.12932E-05
1.27533935	-2.10202E-05
1.2787343	-2.07482E-05
1.28212925	-2.0477E-05
1.2855242	-2.02067E-05
1.28891915	-1.99372E-05
1.2923141	-1.96686E-05
1.29570905	-1.94008E-05
1.299104	-1.91338E-05
1.30249895	-1.88677E-05
1.3058939	-1.86024E-05
1.30928885	-1.83379E-05
1.3126838	-1.80742E-05
1.31607875	-1.78113E-05
1.3194737	-1.75492E-05
1.32286865	-1.72879E-05
1.3262636	-1.70274E-05
1.32965855	-1.67677E-05
1.3330535	-1.65087E-05
1.33644845	-1.62505E-05
1.3398434	-1.59931E-05
1.34323835	-1.57364E-05
1.3466333	-1.54805E-05
1.35002825	-1.52253E-05
1.3534232	-1.49708E-05
1.35681815	-1.47171E-05
1.3602131	-1.44641E-05
1.36360805	-1.42118E-05
1.367003	-1.39602E-05
1.37039795	-1.37094E-05
1.3737929	-1.34592E-05
1.37718785	-1.32098E-05
1.3805828	-1.2961E-05
1.38397775	-1.2713E-05
1.3873727	-1.24656E-05
1.39076765	-1.22189E-05
1.3941626	-1.19729E-05
1.39755755	-1.17275E-05
1.4009525	-1.14828E-05
1.40434745	-1.12388E-05
1.4077424	-1.09954E-05
1.41113735	-1.07527E-05
1.4145323	-1.05106E-05
1.41792725	-1.02691E-05
1.4213222	-1.00283E-05
1.42471715	-9.78815E-06
1.4281121	-9.5486E-06
1.43150705	-9.30967E-06
1.434902	-9.07137E-06
1.43829695	-8.83367E-06
1.4416919	-8.59659E-06
1.44508685	-8.36011E-06
1.4484818	-8.12423E-06
1.45187675	-7.88895E-06
1.4552717	-7.65426E-06
1.45866665	-7.42016E-06
1.4620616	-7.18664E-06
1.46545655	-6.95371E-06
1.4688515	-6.72135E-06
1.47224645	-6.48956E-06
1.4756414	-6.25834E-06
1.47903635	-6.02769E-06
1.4824313	-5.79759E-06
1.48582625	-5.56806E-06
1.4892212	-5.33907E-06
1.49261615	-5.11064E-06
1.4960111	-4.88275E-06
1.49940605	-4.6554E-06
1.502801	-4.42859E-06
1.50619595	-4.20231E-06
1.5095909	-3.97657E-06
1.51298585	-3.75135E-06
1.5163808	-3.52666E-06
1.51977575	-3.30248E-06
1.5231707	-3.07883E-06
1.52656565	-2.85568E-06
1.5299606	-2.63305E-06
1.53335555	-2.41092E-06
1.5367505	-2.1893E-06
1.54014545	-1.96817E-06
1.5435404	-1.74754E-06
1.54693535	-1.52741E-06
1.5503303	-1.30776E-06
1.55372525	-1.0886E-06
1.5571202	-8.69928E-07
1.56051515	-6.51733E-07
1.5639101	-4.34015E-07
1.56730505	-2.16772E-07
1.5707	5.0822E-21

