r[m]	temperature[C]
0.72535745	99.99999429
0.7287524	99.99999502
0.73214735	99.99999565
0.7355423	99.9999962
0.73893725	99.99999669
0.7423322	99.99999711
0.74572715	99.99999748
0.7491221	99.9999978
0.75251705	99.99999808
0.755912	99.99999833
0.75930695	99.99999854
0.7627019	99.99999873
0.76609685	99.99999889
0.7694918	99.99999904
0.77288675	99.99999916
0.7762817	99.99999927
0.77967665	99.99999936
0.7830716	99.99999945
0.78646655	99.99999952
0.7898615	99.99999958
0.79325645	99.99999963
0.7966514	99.99999968
0.80004635	99.99999972
0.8034413	99.99999976
0.80683625	99.99999979
0.8102312	99.99999982
0.81362615	99.99999984
0.8170211	99.99999986
0.82041605	99.99999988
0.823811	99.9999999
0.82720595	99.99999991
0.8306009	99.99999992
0.83399585	99.99999993
0.8373908	99.99999994
0.84078575	99.99999995
0.8441807	99.99999996
0.84757565	99.99999996
0.8509706	99.99999997
0.85436555	99.99999997
0.8577605	99.99999997
0.86115545	99.99999998
0.8645504	99.99999998
0.86794535	99.99999998
0.8713403	99.99999999
0.87473525	99.99999999
0.8781302	99.99999999
0.88152515	99.99999999
0.8849201	99.99999999
0.88831505	99.99999999
0.89171	99.99999999
0.89510495	99.99999999
0.8984999	100
0.90189485	100
0.9052898	100
0.90868475	100
0.9120797	100
0.91547465	100
0.9188696	100
0.92226455	100
0.9256595	100
0.92905445	100
0.9324494	100
0.93584435	100
0.9392393	100
0.94263425	100
0.9460292	100
0.94942415	100
0.9528191	100
0.95621405	100
0.959609	100
0.96300395	100
0.9663989	100
0.96979385	100
0.9731888	100
0.97658375	100
0.9799787	100
0.98337365	100
0.9867686	100
0.99016355	100
0.9935585	100
0.99695345	100
1.0003484	100
1.00374335	100
1.0071383	100
1.01053325	100
1.0139282	100
1.01732315	100
1.0207181	100
1.02411305	100
1.027508	100
1.03090295	100
1.0342979	100
1.03769285	100
1.0410878	100
1.04448275	100
1.0478777	100
1.05127265	100
1.0546676	100
1.05806255	100
1.0614575	100
1.06485245	100
1.0682474	100
1.07164235	100
1.0750373	100
1.07843225	100
1.0818272	100
1.08522215	100
1.0886171	100
1.09201205	100
1.095407	100
1.09880195	100
1.1021969	100
1.10559185	100
1.1089868	100
1.11238175	100
1.1157767	100
1.11917165	100
1.1225666	100
1.12596155	100
1.1293565	100
1.13275145	100
1.1361464	100
1.13954135	100
1.1429363	100
1.14633125	100
1.1497262	100
1.15312115	100
1.1565161	100
1.15991105	100
1.163306	100
1.16670095	100
1.1700959	100
1.17349085	100
1.1768858	100
1.18028075	100
1.1836757	100
1.18707065	100
1.1904656	100
1.19386055	100
1.1972555	100
1.20065045	100
1.2040454	100
1.20744035	100
1.2108353	100
1.21423025	100
1.2176252	100
1.22102015	100
1.2244151	100
1.22781005	100
1.231205	100
1.23459995	100
1.2379949	100
1.24138985	100
1.2447848	100
1.24817975	100
1.2515747	100
1.25496965	100
1.2583646	100
1.26175955	100
1.2651545	100
1.26854945	100
1.2719444	100
1.27533935	100
1.2787343	100
1.28212925	100
1.2855242	100
1.28891915	100
1.2923141	100
1.29570905	100
1.299104	100
1.30249895	100
1.3058939	100
1.30928885	100
1.3126838	100
1.31607875	100
1.3194737	100
1.32286865	100
1.3262636	100
1.32965855	100
1.3330535	100
1.33644845	100
1.3398434	100
1.34323835	100
1.3466333	100
1.35002825	100
1.3534232	100
1.35681815	100
1.3602131	100
1.36360805	100
1.367003	100
1.37039795	100
1.3737929	100
1.37718785	100
1.3805828	100
1.38397775	100
1.3873727	100
1.39076765	100
1.3941626	100
1.39755755	100
1.4009525	100
1.40434745	100
1.4077424	100
1.41113735	100
1.4145323	100
1.41792725	100
1.4213222	100
1.42471715	100
1.4281121	100
1.43150705	100
1.434902	100
1.43829695	100
1.4416919	100
1.44508685	100
1.4484818	100
1.45187675	100
1.4552717	100
1.45866665	100
1.4620616	100
1.46545655	100
1.4688515	100
1.47224645	100
1.4756414	100
1.47903635	100
1.4824313	100
1.48582625	100
1.4892212	100
1.49261615	100
1.4960111	100
1.49940605	100
1.502801	100
1.50619595	100
1.5095909	100
1.51298585	100
1.5163808	100
1.51977575	100
1.5231707	100
1.52656565	100
1.5299606	100
1.53335555	100
1.5367505	100
1.54014545	100
1.5435404	100
1.54693535	100
1.5503303	100
1.55372525	100
1.5571202	100
1.56051515	100
1.5639101	100
1.56730505	100
1.5707	100

