r[m]	u[m]
0.77967665	-0.000200543
0.7830716	-0.000199239
0.78646655	-0.000197939
0.7898615	-0.000196645
0.79325645	-0.000195356
0.7966514	-0.000194071
0.80004635	-0.000192791
0.8034413	-0.000191517
0.80683625	-0.000190247
0.8102312	-0.000188982
0.81362615	-0.000187722
0.8170211	-0.000186468
0.82041605	-0.000185218
0.823811	-0.000183973
0.82720595	-0.000182733
0.8306009	-0.000181499
0.83399585	-0.000180269
0.8373908	-0.000179044
0.84078575	-0.000177825
0.8441807	-0.00017661
0.84757565	-0.000175401
0.8509706	-0.000174196
0.85436555	-0.000172997
0.8577605	-0.000171802
0.86115545	-0.000170613
0.8645504	-0.000169429
0.86794535	-0.000168249
0.8713403	-0.000167075
0.87473525	-0.000165906
0.8781302	-0.000164741
0.88152515	-0.000163582
0.8849201	-0.000162427
0.88831505	-0.000161278
0.89171	-0.000160133
0.89510495	-0.000158993
0.8984999	-0.000157859
0.90189485	-0.000156729
0.9052898	-0.000155604
0.90868475	-0.000154484
0.9120797	-0.000153368
0.91547465	-0.000152258
0.9188696	-0.000151152
0.92226455	-0.000150051
0.9256595	-0.000148955
0.92905445	-0.000147863
0.9324494	-0.000146776
0.93584435	-0.000145694
0.9392393	-0.000144617
0.94263425	-0.000143544
0.9460292	-0.000142476
0.94942415	-0.000141412
0.9528191	-0.000140353
0.95621405	-0.000139299
0.959609	-0.000138249
0.96300395	-0.000137204
0.9663989	-0.000136163
0.96979385	-0.000135126
0.9731888	-0.000134094
0.97658375	-0.000133066
0.9799787	-0.000132043
0.98337365	-0.000131024
0.9867686	-0.00013001
0.99016355	-0.000128999
0.9935585	-0.000127993
0.99695345	-0.000126992
1.0003484	-0.000125994
1.00374335	-0.000125001
1.0071383	-0.000124012
1.01053325	-0.000123027
1.0139282	-0.000122046
1.01732315	-0.000121069
1.0207181	-0.000120096
1.02411305	-0.000119127
1.027508	-0.000118163
1.03090295	-0.000117202
1.0342979	-0.000116245
1.03769285	-0.000115293
1.0410878	-0.000114344
1.04448275	-0.000113399
1.0478777	-0.000112457
1.05127265	-0.00011152
1.0546676	-0.000110587
1.05806255	-0.000109657
1.0614575	-0.000108731
1.06485245	-0.000107808
1.0682474	-0.00010689
1.07164235	-0.000105975
1.0750373	-0.000105064
1.07843225	-0.000104156
1.0818272	-0.000103252
1.08522215	-0.000102351
1.0886171	-0.000101454
1.09201205	-0.000100561
1.095407	-9.96711E-05
1.09880195	-9.87846E-05
1.1021969	-9.79015E-05
1.10559185	-9.70219E-05
1.1089868	-9.61456E-05
1.11238175	-9.52727E-05
1.1157767	-9.44032E-05
1.11917165	-9.3537E-05
1.1225666	-9.2674E-05
1.12596155	-9.18144E-05
1.1293565	-9.09579E-05
1.13275145	-9.01047E-05
1.1361464	-8.92547E-05
1.13954135	-8.84078E-05
1.1429363	-8.75641E-05
1.14633125	-8.67236E-05
1.1497262	-8.58861E-05
1.15312115	-8.50517E-05
1.1565161	-8.42203E-05
1.15991105	-8.3392E-05
1.163306	-8.25667E-05
1.16670095	-8.17444E-05
1.1700959	-8.0925E-05
1.17349085	-8.01086E-05
1.1768858	-7.92951E-05
1.18028075	-7.84845E-05
1.1836757	-7.76767E-05
1.18707065	-7.68719E-05
1.1904656	-7.60698E-05
1.19386055	-7.52706E-05
1.1972555	-7.44741E-05
1.20065045	-7.36804E-05
1.2040454	-7.28895E-05
1.20744035	-7.21013E-05
1.2108353	-7.13158E-05
1.21423025	-7.0533E-05
1.2176252	-6.97528E-05
1.22102015	-6.89753E-05
1.2244151	-6.82004E-05
1.22781005	-6.74282E-05
1.231205	-6.66585E-05
1.23459995	-6.58913E-05
1.2379949	-6.51268E-05
1.24138985	-6.43647E-05
1.2447848	-6.36052E-05
1.24817975	-6.28481E-05
1.2515747	-6.20935E-05
1.25496965	-6.13414E-05
1.2583646	-6.05917E-05
1.26175955	-5.98444E-05
1.2651545	-5.90996E-05
1.26854945	-5.83571E-05
1.2719444	-5.76169E-05
1.27533935	-5.68791E-05
1.2787343	-5.61437E-05
1.28212925	-5.54105E-05
1.2855242	-5.46796E-05
1.28891915	-5.3951E-05
1.2923141	-5.32247E-05
1.29570905	-5.25006E-05
1.299104	-5.17788E-05
1.30249895	-5.10591E-05
1.3058939	-5.03416E-05
1.30928885	-4.96263E-05
1.3126838	-4.89132E-05
1.31607875	-4.82022E-05
1.3194737	-4.74934E-05
1.32286865	-4.67866E-05
1.3262636	-4.6082E-05
1.32965855	-4.53794E-05
1.3330535	-4.46789E-05
1.33644845	-4.39805E-05
1.3398434	-4.32841E-05
1.34323835	-4.25897E-05
1.3466333	-4.18973E-05
1.35002825	-4.12069E-05
1.3534232	-4.05185E-05
1.35681815	-3.98321E-05
1.3602131	-3.91476E-05
1.36360805	-3.8465E-05
1.367003	-3.77844E-05
1.37039795	-3.71056E-05
1.3737929	-3.64288E-05
1.37718785	-3.57538E-05
1.3805828	-3.50807E-05
1.38397775	-3.44095E-05
1.3873727	-3.37401E-05
1.39076765	-3.30725E-05
1.3941626	-3.24068E-05
1.39755755	-3.17428E-05
1.4009525	-3.10806E-05
1.40434745	-3.04202E-05
1.4077424	-2.97616E-05
1.41113735	-2.91047E-05
1.4145323	-2.84496E-05
1.41792725	-2.77962E-05
1.4213222	-2.71445E-05
1.42471715	-2.64945E-05
1.4281121	-2.58462E-05
1.43150705	-2.51995E-05
1.434902	-2.45546E-05
1.43829695	-2.39113E-05
1.4416919	-2.32696E-05
1.44508685	-2.26296E-05
1.4484818	-2.19912E-05
1.45187675	-2.13543E-05
1.4552717	-2.07191E-05
1.45866665	-2.00855E-05
1.4620616	-1.94535E-05
1.46545655	-1.8823E-05
1.4688515	-1.81941E-05
1.47224645	-1.75667E-05
1.4756414	-1.69409E-05
1.47903635	-1.63166E-05
1.4824313	-1.56937E-05
1.48582625	-1.50724E-05
1.4892212	-1.44526E-05
1.49261615	-1.38343E-05
1.4960111	-1.32175E-05
1.49940605	-1.26021E-05
1.502801	-1.19881E-05
1.50619595	-1.13756E-05
1.5095909	-1.07646E-05
1.51298585	-1.01549E-05
1.5163808	-9.5467E-06
1.51977575	-8.93988E-06
