r[m]	temperature[C]
0.15707	-20
0.157761	-19.94959716
0.158452	-19.89941413
0.159143	-19.84944901
0.159834	-19.79969992
0.160525	-19.75016502
0.161216	-19.70084246
0.161907	-19.65173045
0.162598	-19.60282721
0.163289	-19.55413097
0.16398	-19.50563999
0.164671	-19.45735257
0.165362	-19.40926701
0.166053	-19.36138163
0.166744	-19.31369478
0.167435	-19.26620483
0.168126	-19.21891018
0.168817	-19.17180922
0.169508	-19.12490039
0.170199	-19.07818214
0.17089	-19.03165292
0.171581	-18.98531123
0.172272	-18.93915557
0.172963	-18.89318446
0.173654	-18.84739643
0.174345	-18.80179005
0.175036	-18.75636388
0.175727	-18.71111652
0.176418	-18.66604657
0.177109	-18.62115266
0.1778	-18.57643342
0.1778	-18.57643342
0.1784984	-17.8984613
0.1791968	-17.22314571
0.1798952	-16.55047067
0.1805936	-15.88042036
0.181292	-15.21297918
0.1819904	-14.54813174
0.1826888	-13.88586281
0.1833872	-13.22615738
0.1840856	-12.56900061
0.184784	-11.91437785
0.1854824	-11.26227461
0.1861808	-10.61267662
0.1868792	-9.96556974
0.1875776	-9.320940032
0.188276	-8.678773714
0.1889744	-8.039057172
0.1896728	-7.401776955
0.1903712	-6.766919776
0.1910696	-6.134472504
0.191768	-5.504422163
0.1924664	-4.876755932
0.1931648	-4.251461139
0.1938632	-3.628525264
0.1945616	-3.007935928
0.19526	-2.389680901
0.1959584	-1.773748089
0.1966568	-1.160125542
0.1973552	-0.548801443
0.1980536	0.060235886
0.198752	0.666997994
0.1994504	1.271496297
0.2001488	1.873742085
0.2008472	2.473746519
0.2015456	3.071520636
0.202244	3.667075351
0.2029424	4.260421458
0.2036408	4.851569633
0.2043392	5.440530434
0.2050376	6.027314304
0.205736	6.611931572
0.2064344	7.194392459
0.2071328	7.774707071
0.2078312	8.35288541
0.2085296	8.928937369
0.209228	9.502872738
0.2099264	10.0747012
0.2106248	10.64443235
0.2113232	11.21207565
0.2120216	11.77764051
0.21272	12.34113621
0.21272	12.34113621
0.21611495	13.99124154
0.2195099	15.61236621
0.22290485	17.20518062
0.2262998	18.7703246
0.22969475	20.30840936
0.2330897	21.82001938
0.23648465	23.30571406
0.2398796	24.76602935
0.24327455	26.20147922
0.2466695	27.61255698
0.25006445	28.99973661
0.2534594	30.36347391
0.25685435	31.70420765
0.2602493	33.02236053
0.26364425	34.31834021
0.2670392	35.59254016
0.27043415	36.84534055
0.2738291	38.07710897
0.27722405	39.28820123
0.280619	40.478962
0.28401395	41.64972548
0.2874089	42.80081597
0.29080385	43.93254847
0.2941988	45.0452292
0.29759375	46.13915607
0.3009887	47.21461917
0.30438365	48.27190119
0.3077786	49.31127785
0.31117355	50.33301825
0.3145685	51.33738524
0.31796345	52.32463577
0.3213584	53.29502119
0.32475335	54.24878757
0.3281483	55.18617593
0.33154325	56.10742253
0.3349382	57.01275913
0.33833315	57.90241318
0.3417281	58.77660807
0.34512305	59.63556328
0.348518	60.47949464
0.35191295	61.30861443
0.3553079	62.12313158
0.35870285	62.92325185
0.3620978	63.70917791
0.36549275	64.48110953
0.3688877	65.23924366
0.37228265	65.98377459
0.3756776	66.71489401
0.37907255	67.43279117
0.3824675	68.13765291
0.38586245	68.8296638
0.3892574	69.50900619
0.39265235	70.17586028
0.3960473	70.83040423
0.39944225	71.47281418
0.4028372	72.10326433
0.40623215	72.72192699
0.4096271	73.32897265
0.41302205	73.92456999
0.416417	74.50888594
0.41981195	75.08208575
0.4232069	75.64433297
0.42660185	76.19578952
0.4299968	76.73661571
0.43339175	77.26697027
0.4367867	77.78701037
0.44018165	78.29689164
0.4435766	78.79676822
0.44697155	79.28679273
0.4503665	79.7671163
0.45376145	80.23788864
0.4571564	80.69925795
0.46055135	81.15137104
0.4639463	81.59437325
0.46734125	82.02840853
0.4707362	82.4536194
0.47413115	82.87014697
0.4775261	83.27813096
0.48092105	83.67770969
0.484316	84.06902008
0.48771095	84.45219767
0.4911059	84.82737662
0.49450085	85.1946897
0.4978958	85.5542683
0.50129075	85.90624243
0.5046857	86.25074072
0.50808065	86.58789044
0.5114756	86.91781746
0.51487055	87.24064629
0.5182655	87.55650006
0.52166045	87.86550053
0.5250554	88.16776809
0.52845035	88.46342174
0.5318453	88.75257912
0.53524025	89.0353565
0.5386352	89.31186876
0.54203015	89.58222944
0.5454251	89.84655067
0.54882005	90.10494325
0.552215	90.35751658
0.55560995	90.60437871
0.5590049	90.84563633
0.56239985	91.08139474
0.5657948	91.31175792
0.56918975	91.53682844
0.5725847	91.75670756
0.57597965	91.97149516
0.5793746	92.18128978
0.58276955	92.38618862
0.5861645	92.58628751
0.58955945	92.78168098
0.5929544	92.97246219
0.59634935	93.158723
0.5997443	93.34055392
0.60313925	93.51804416
0.6065342	93.69128161
0.60992915	93.86035285
0.6133241	94.02534317
0.61671905	94.18633656
0.620114	94.34341572
0.62350895	94.49666206
0.6269039	94.64615574
0.63029885	94.79197565
0.6336938	94.93419941
0.63708875	95.0729034
0.6404837	95.20816276
0.64387865	95.3400514
0.6472736	95.46864202
0.65066855	95.59400609
0.6540635	95.71621388
0.65745845	95.83533447
0.6608534	95.95143577
0.66424835	96.0645845
0.6676433	96.17484623
0.67103825	96.28228537
0.6744332	96.38696521
0.67782815	96.48894787
0.6812231	96.5882944
0.68461805	96.68506471
0.688013	96.77931763
0.69140795	96.87111091
0.6948029	96.96050121
0.69819785	97.04754415
0.7015928	97.1322943
0.70498775	97.21480519
0.7083827	97.29512932
0.71177765	97.3733182
0.7151726	97.44942231
0.71856755	97.52349117
0.7219625	97.59557333
0.72535745	97.66571636
0.7287524	97.7339669
0.73214735	97.80037063
0.7355423	97.86497234
0.73893725	97.92781588
0.7423322	97.98894423
0.74572715	98.04839946
0.7491221	98.10622279
0.75251705	98.16245456
0.755912	98.21713429
0.75930695	98.27030064
0.7627019	98.32199147
0.76609685	98.37224382
0.7694918	98.42109394
0.77288675	98.46857729
0.7762817	98.51472857
0.77967665	98.55958172
0.7830716	98.60316992
0.78646655	98.64552565
0.7898615	98.68668062
0.79325645	98.72666588
0.7966514	98.76551176
0.80004635	98.80324791
0.8034413	98.83990329
0.80683625	98.87550623
0.8102312	98.9100844
0.81362615	98.94366481
0.8170211	98.97627389
0.82041605	99.0079374
0.823811	99.03868055
0.82720595	99.06852793
0.8306009	99.09750355
0.83399585	99.12563086
0.8373908	99.15293275
0.84078575	99.17943155
0.8441807	99.20514906
0.84757565	99.23010657
0.8509706	99.25432483
0.85436555	99.2778241
0.8577605	99.30062414
0.86115545	99.32274421
0.8645504	99.34420312
0.86794535	99.36501919
0.8713403	99.38521031
0.87473525	99.4047939
0.8781302	99.42378695
0.88152515	99.44220602
0.8849201	99.46006726
0.88831505	99.4773864
0.89171	99.49417877
0.89510495	99.51045932
0.8984999	99.5262426
0.90189485	99.5415428
0.9052898	99.55637371
0.90868475	99.5707488
0.9120797	99.58468118
0.91547465	99.5981836
0.9188696	99.61126848
0.92226455	99.62394793
0.9256595	99.63623372
0.92905445	99.64813731
0.9324494	99.65966987
0.93584435	99.67084225
0.9392393	99.68166502
0.94263425	99.69214847
0.9460292	99.7023026
0.94942415	99.71213714
0.9528191	99.72166157
0.95621405	99.7308851
0.959609	99.73981669
0.96300395	99.74846505
0.9663989	99.75683865
0.96979385	99.76494573
0.9731888	99.7727943
0.97658375	99.78039215
0.9799787	99.78774685
0.98337365	99.79486576
0.9867686	99.80175603
0.99016355	99.80842461
0.9935585	99.81487825
0.99695345	99.82112351
1.0003484	99.82716678
1.00374335	99.83301425
1.0071383	99.83867193
1.01053325	99.84414567
1.0139282	99.84944114
1.01732315	99.85456387
1.0207181	99.85951921
1.02411305	99.86431234
1.027508	99.86894833
1.03090295	99.87343208
1.0342979	99.87776833
1.03769285	99.88196172
1.0410878	99.88601672
1.04448275	99.88993768
1.0478777	99.89372883
1.05127265	99.89739427
1.0546676	99.90093797
1.05806255	99.90436379
1.0614575	99.90767547
1.06485245	99.91087664
1.0682474	99.91397083
1.07164235	99.91696144
1.0750373	99.91985181
1.07843225	99.92264513
1.0818272	99.92534453
1.08522215	99.92795303
1.0886171	99.93047355
1.09201205	99.93290894
1.095407	99.93526195
1.09880195	99.93753526
1.1021969	99.93973144
1.10559185	99.94185301
1.1089868	99.9439024
1.11238175	99.94588196
1.1157767	99.94779398
1.11917165	99.94964067
1.1225666	99.95142418
1.12596155	99.95314657
1.1293565	99.95480986
1.13275145	99.95641601
1.1361464	99.95796689
1.13954135	99.95946433
1.1429363	99.96091012
1.14633125	99.96230596
1.1497262	99.96365351
1.15312115	99.96495438
1.1565161	99.96621013
1.15991105	99.96742227
1.163306	99.96859225
1.16670095	99.96972149
1.1700959	99.97081136
1.17349085	99.97186318
1.1768858	99.97287823
1.18028075	99.97385776
