injectionRate,pressure,time
0.0,2360.66284,24.875
0.0,2360.6626,25.0
0.0,2360.66284,25.125
0.0,2360.66309,25.25
0.0,2360.66309,25.375
0.0,2360.66357,25.5
0.0,2360.66406,25.625
0.0,2360.66406,25.75
0.0,2360.66382,25.875
0.0,2360.66382,26.0
0.0,2360.66382,26.125
0.0,2360.66406,26.25
0.0,2360.66431,26.375
0.0,2360.66455,26.5
0.0,2360.66455,26.625
0.0,2360.66406,26.75
0.0,2360.66357,26.875
0.0,2360.66284,27.0
0.0,2360.66284,27.125
0.0,2360.66309,27.25
0.0,2360.66357,27.375
0.0,2360.66406,27.5
0.0,2360.66406,27.625
0.0,2360.66406,27.75
0.0,2360.66357,27.875
0.0,2360.66333,28.0
0.0,2360.66333,28.125
0.0,2360.66333,28.25
0.0,2360.66382,28.375
0.0,2360.66406,28.5
0.0,2360.66357,28.625
0.0,2360.66357,28.75
0.0,2360.66333,28.875
0.0,2360.66309,29.0
0.0,2360.66284,29.125
0.0,2360.6626,29.25
0.0,2360.66309,29.375
0.0,2360.66357,29.5
0.0,2360.66406,29.625
0.0,2360.66479,29.75
0.0,2360.66504,29.875
0.0,2360.66479,30.0
0.0,2360.66455,30.125
0.0,2360.66382,30.25
0.0,2360.66284,30.375
0.0,2360.66235,30.5
0.0,2360.66187,30.625
0.0,2360.66187,30.75
0.0,2360.66211,30.875
0.0,2360.66235,31.0
0.0,2360.66284,31.125
0.0,2360.66284,31.25
0.0,2360.66284,31.375
0.0,2360.66284,31.5
0.0,2360.6626,31.625
0.0,2360.6626,31.75
0.0,2360.6626,31.875
0.0,2360.66309,32.0
0.0,2360.66333,32.125
0.0,2360.66357,32.25
0.0,2360.66357,32.375
0.0,2360.66333,32.5
0.0,2360.66284,32.625
0.0,2360.66235,32.75
0.0,2360.66211,32.875
0.0,2360.66211,33.0
0.0,2360.6626,33.125
0.0,2360.66309,33.25
0.0,2360.66309,33.375
0.0,2360.66333,33.5
0.0,2360.66309,33.625
0.0,2360.6626,33.75
0.0,2360.66235,33.875
0.0,2360.6626,34.0
0.0,2360.66284,34.125
0.0,2360.66333,34.25
0.0,2360.66357,34.375
0.0,2360.66357,34.5
0.0,2360.66357,34.625
0.0,2360.66309,34.75
0.0,2360.66284,34.875
0.0,2360.66235,35.0
0.0,2360.66235,35.125
0.0,2360.66211,35.25
0.0,2360.66162,35.375
0.0,2360.66162,35.5
0.0,2360.66162,35.625
0.0,2360.66138,35.75
0.0,2360.66162,35.875
0.0,2360.66235,36.0
0.0,2360.66284,36.125
0.0,2360.66309,36.25
0.0,2360.66309,36.375
0.0,2360.66309,36.5
0.0,2360.66284,36.625
0.0,2360.6626,36.75
0.0,2360.66235,36.875
0.0,2360.66235,37.0
0.0,2360.66211,37.125
0.0,2360.66187,37.25
0.0,2360.66162,37.375
0.0,2360.66162,37.5
0.0,2360.66138,37.625
0.0,2360.66162,37.75
0.0,2360.66162,37.875
0.0,2360.66138,38.0
0.0,2360.66113,38.125
0.0,2360.66113,38.25
0.0,2360.66138,38.375
0.0,2360.66162,38.5
0.0,2360.66211,38.625
0.0,2360.66235,38.75
0.0,2360.66284,38.875
0.0,2360.66309,39.0
0.0,2360.66309,39.125
0.0,2360.66309,39.25
0.0,2360.6626,39.375
0.0,2360.66235,39.5
0.0,2360.66187,39.625
0.0,2360.66162,39.75
0.0,2360.66162,39.875
0.0,2360.66235,40.0
0.0,2360.66309,40.125
0.0,2360.66333,40.25
0.0,2360.66333,40.375
0.0,2360.66284,40.5
0.0,2360.66211,40.625
0.0,2360.66162,40.75
0.0,2360.66113,40.875
0.0,2360.66138,41.0
0.0,2360.66187,41.125
0.0,2360.66235,41.25
0.0,2360.66284,41.375
0.0,2360.66333,41.5
0.0,2360.66309,41.625
0.0,2360.6626,41.75
0.0,2360.66235,41.875
0.0,2360.66162,42.0
0.0,2360.66162,42.125
0.0,2360.66113,42.25
0.0,2360.66162,42.375
0.0,2360.66162,42.5
0.0,2360.66187,42.625
0.0,2360.66187,42.75
0.0,2360.66211,42.875
0.0,2360.66211,43.0
0.0,2360.66211,43.125
0.0,2360.66211,43.25
0.0,2360.66162,43.375
0.0,2360.66162,43.5
0.0,2360.66162,43.625
0.0,2360.66187,43.75
0.0,2360.66235,43.875
0.0,2360.66309,44.0
0.0,2360.66333,44.125
0.0,2360.66309,44.25
0.0,2360.66235,44.375
0.0,2360.66113,44.5
0.0,2360.6604,44.625
0.0,2360.66016,44.75
0.0,2360.66064,44.875
0.0,2360.66113,45.0
0.0,2360.66187,45.125
0.0,2360.6626,45.25
0.0,2360.66235,45.375
0.0,2360.66162,45.5
0.0,2360.66138,45.625
0.0,2360.66113,45.75
0.0,2360.66064,45.875
0.0,2360.66064,46.0
0.0,2360.66089,46.125
0.0,2360.66113,46.25
0.0,2360.66138,46.375
0.0,2360.66162,46.5
0.0,2360.66187,46.625
0.0,2360.66162,46.75
0.0,2360.66162,46.875
0.0,2360.66162,47.0
0.0,2360.66162,47.125
0.0,2360.66113,47.25
0.0,2360.66089,47.375
0.0,2360.6604,47.5
0.0,2360.66016,47.625
0.0,2360.66016,47.75
0.0,2360.66064,47.875
0.0,2360.66089,48.0
0.0,2360.66113,48.125
0.0,2360.66113,48.25
0.0,2360.66113,48.375
0.0,2360.66113,48.5
0.0,2360.66138,48.625
0.0,2360.66162,48.75
0.0,2360.66162,48.875
0.0,2360.66113,49.0
0.0,2360.66113,49.125
0.0,2360.66064,49.25
0.0,2360.66064,49.375
0.0,2360.66089,49.5
0.0,2360.66113,49.625
0.0,2360.66113,49.75
0.0,2360.66089,49.875
0.0,2360.66089,50.0
0.0,2360.66113,50.125
0.0,2360.66113,50.25
0.0,2360.66113,50.375
0.0,2360.66089,50.5
0.0,2360.66064,50.625
0.0,2360.6604,50.75
0.0,2360.66016,50.875
0.0,2360.66016,51.0
0.0,2360.6604,51.125
0.0,2360.66064,51.25
0.0,2360.66113,51.375
0.0,2360.66113,51.5
0.0,2360.66064,51.625
0.0,2360.66016,51.75
0.0,2360.65967,51.875
0.0,2360.65967,52.0
0.0,2360.65991,52.125
0.0,2360.66016,52.25
0.0,2360.66064,52.375
0.0,2360.66138,52.5
0.0,2360.66162,52.625
0.0,2360.66162,52.75
0.0,2360.66162,52.875
0.0,2360.66113,53.0
0.0,2360.66064,53.125
0.0,2360.66016,53.25
0.0,2360.65991,53.375
0.0,2360.65967,53.5
0.0,2360.65967,53.625
0.0,2360.65942,53.75
0.0,2360.65918,53.875
0.0,2360.65918,54.0
0.0,2360.65967,54.125
0.0,2360.66016,54.25
0.0,2360.66064,54.375
0.0,2360.66113,54.5
0.0,2360.66138,54.625
0.0,2360.66113,54.75
0.0,2360.66064,54.875
0.0,2360.6604,55.0
0.0,2360.66016,55.125
0.0,2360.65967,55.25
0.0,2360.65967,55.375
0.0,2360.65967,55.5
0.0,2360.65991,55.625
0.0,2360.6604,55.75
0.0,2360.66064,55.875
0.0,2360.66064,56.0
0.0,2360.66064,56.125
0.0,2360.66064,56.25
0.0,2360.6604,56.375
0.0,2360.66016,56.5
0.0,2360.65967,56.625
0.0,2360.65942,56.75
0.0,2360.65918,56.875
0.0,2360.65918,57.0
0.0,2360.65942,57.125
0.0,2360.65967,57.25
0.0,2360.65967,57.375
0.0,2360.65967,57.5
0.0,2360.65967,57.625
0.0,2360.66016,57.75
0.0,2360.66016,57.875
0.0,2360.66016,58.0
0.0,2360.65991,58.125
0.0,2360.66016,58.25
0.0,2360.66016,58.375
0.0,2360.65991,58.5
0.0,2360.65991,58.625
0.0,2360.65967,58.75
0.0,2360.65991,58.875
0.0,2360.65967,59.0
0.0,2360.65967,59.125
0.0,2360.65967,59.25
0.0,2360.65991,59.375
0.0,2360.66016,59.5
0.0,2360.66064,59.625
0.0,2360.66016,59.75
0.0,2360.66016,59.875
0.0,2360.65967,60.0
0.0,2360.65918,60.125
0.0,2360.65845,60.25
0.0,2360.6582,60.375
0.0,2360.65869,60.5
0.0,2360.65918,60.625
0.0,2360.65991,60.75
0.0,2360.66016,60.875
0.0,2360.65991,61.0
0.0,2360.65918,61.125
0.0,2360.65894,61.25
0.0,2360.65869,61.375
0.0,2360.65869,61.5
0.0,2360.65894,61.625
0.0,2360.65918,61.75
0.0,2360.65918,61.875
0.0,2360.65918,62.0
0.0,2360.65942,62.125
0.0,2360.65942,62.25
0.0,2360.65942,62.375
0.0,2360.65869,62.5
0.0,2360.65845,62.625
0.0,2360.65796,62.75
0.0,2360.65796,62.875
0.0,2360.65796,63.0
0.0,2360.65845,63.125
0.0,2360.65894,63.25
0.0,2360.65967,63.375
0.0,2360.65991,63.5
0.0,2360.66016,63.625
0.0,2360.66016,63.75
0.0,2360.65991,63.875
0.0,2360.65942,64.0
0.0,2360.65894,64.125
0.0,2360.65845,64.25
0.0,2360.65845,64.375
0.0,2360.6582,64.5
0.0,2360.65771,64.625
0.0,2360.65771,64.75
0.0,2360.65771,64.875
0.0,2360.65796,65.0
0.0,2360.65845,65.125
0.0,2360.65869,65.25
0.0,2360.65869,65.375
0.0,2360.6582,65.5
0.0,2360.65771,65.625
0.0,2360.65723,65.75
0.0,2360.65723,65.875
0.0,2360.65723,66.0
0.0,2360.65771,66.125
0.0,2360.65869,66.25
0.0,2360.65942,66.375
0.0,2360.65991,66.5
0.0,2360.65967,66.625
0.0,2360.65918,66.75
0.0,2360.65845,66.875
0.0,2360.65771,67.0
0.0,2360.65747,67.125
0.0,2360.65723,67.25
0.0,2360.65747,67.375
0.0,2360.65747,67.5
0.0,2360.65771,67.625
0.0,2360.6582,67.75
0.0,2360.65845,67.875
0.0,2360.65869,68.0
0.0,2360.65845,68.125
0.0,2360.65796,68.25
0.0,2360.65747,68.375
0.0,2360.65698,68.5
0.0,2360.65698,68.625
0.0,2360.65698,68.75
0.0,2360.65747,68.875
0.0,2360.65771,69.0
0.0,2360.65771,69.125
0.0,2360.65771,69.25
0.0,2360.65771,69.375
0.0,2360.65771,69.5
0.0,2360.65771,69.625
0.0,2360.65747,69.75
0.0,2360.65723,69.875
0.0,2360.65723,70.0
0.0,2360.65698,70.125
0.0,2360.65723,70.25
0.0,2360.65723,70.375
0.0,2360.65723,70.5
0.0,2360.65674,70.625
0.0,2360.65674,70.75
0.0,2360.65625,70.875
0.0,2360.65625,71.0
0.0,2360.65649,71.125
0.0,2360.65625,71.25
0.0,2360.65625,71.375
0.0,2360.65625,71.5
0.0,2360.65649,71.625
0.0,2360.65674,71.75
0.0,2360.65698,71.875
0.0,2360.65747,72.0
0.0,2360.65723,72.125
0.0,2360.65698,72.25
0.0,2360.65674,72.375
0.0,2360.65649,72.5
0.0,2360.65625,72.625
0.0,2360.65649,72.75
0.0,2360.65649,72.875
0.0,2360.65601,73.0
0.0,2360.65552,73.125
0.0,2360.65527,73.25
0.0,2360.65503,73.375
0.0,2360.65527,73.5
0.0,2360.65576,73.625
0.0,2360.65625,73.75
0.0,2360.65674,73.875
0.0,2360.65698,74.0
0.0,2360.65723,74.125
0.0,2360.65723,74.25
0.0,2360.65698,74.375
0.0,2360.65674,74.5
0.0,2360.65674,74.625
0.0,2360.65649,74.75
0.0,2360.65649,74.875
0.0,2360.65649,75.0
0.0,2360.65625,75.125
0.0,2360.65625,75.25
0.0,2360.65649,75.375
0.0,2360.65674,75.5
0.0,2360.65698,75.625
0.0,2360.65723,75.75
0.0,2360.65723,75.875
0.0,2360.65723,76.0
0.0,2360.65723,76.125
0.0,2360.65723,76.25
0.0,2360.65723,76.375
0.0,2360.65723,76.5
0.0,2360.65723,76.625
0.0,2360.65723,76.75
0.0,2360.65698,76.875
0.0,2360.65723,77.0
0.0,2360.65723,77.125
0.0,2360.65723,77.25
0.0,2360.65723,77.375
0.0,2360.65723,77.5
0.0,2360.65674,77.625
0.0,2360.65674,77.75
0.0,2360.65674,77.875
0.0,2360.65674,78.0
0.0,2360.65723,78.125
0.0,2360.65771,78.25
0.0,2360.6582,78.375
0.0,2360.6582,78.5
0.0,2360.65771,78.625
0.0,2360.65723,78.75
0.0,2360.65674,78.875
0.0,2360.65625,79.0
0.0,2360.65601,79.125
0.0,2360.65601,79.25
0.0,2360.65625,79.375
0.0,2360.65649,79.5
0.0,2360.65625,79.625
0.0,2360.65625,79.75
0.0,2360.65649,79.875
0.0,2360.65649,80.0
0.0,2360.65625,80.125
0.0,2360.65625,80.25
0.0,2360.65601,80.375
0.0,2360.65601,80.5
0.0,2360.65601,80.625
0.0,2360.65625,80.75
0.0,2360.65674,80.875
0.0,2360.65674,81.0
0.0,2360.65674,81.125
0.0,2360.65698,81.25
0.0,2360.65674,81.375
0.0,2360.65649,81.5
0.0,2360.65625,81.625
0.0,2360.65576,81.75
0.0,2360.65552,81.875
0.0,2360.65552,82.0
0.0,2360.65576,82.125
0.0,2360.65625,82.25
0.0,2360.65674,82.375
0.0,2360.65698,82.5
0.0,2360.65649,82.625
0.0,2360.65552,82.75
0.0,2360.65503,82.875
0.0,2360.65479,83.0
0.0,2360.65479,83.125
0.0,2360.65503,83.25
0.0,2360.65503,83.375
0.0,2360.65527,83.5
0.0,2360.65552,83.625
0.0,2360.65576,83.75
0.0,2360.65576,83.875
0.0,2360.65576,84.0
0.0,2360.65601,84.125
0.0,2360.65601,84.25
0.0,2360.65601,84.375
0.0,2360.65625,84.5
0.0,2360.65601,84.625
0.0,2360.65576,84.75
0.0,2360.65552,84.875
0.0,2360.65527,85.0
0.0,2360.65576,85.125
0.0,2360.65625,85.25
0.0,2360.65649,85.375
0.0,2360.65649,85.5
0.0,2360.65625,85.625
0.0,2360.65625,85.75
0.0,2360.65625,85.875
0.0,2360.65601,86.0
0.0,2360.65625,86.125
0.0,2360.65601,86.25
0.0,2360.65576,86.375
0.0,2360.65576,86.5
0.0,2360.65527,86.625
0.0,2360.65479,86.75
0.0,2360.6543,86.875
0.0,2360.6543,87.0
0.0,2360.65454,87.125
0.0,2360.65527,87.25
0.0,2360.65625,87.375
0.0,2360.65674,87.5
0.0,2360.65649,87.625
0.0,2360.65601,87.75
0.0,2360.65576,87.875
0.0,2360.65552,88.0
0.0,2360.65552,88.125
0.0,2360.65576,88.25
0.0,2360.65576,88.375
0.0,2360.65576,88.5
