Date & Time of Day (m/d/yyyy h:mm:ss) Unnamed: 0_level_3,16B Wellhead Pressure (psi),16B-DIS FLOW 1 (gpm) Unnamed: 2_level_3,16B-DIS FLOW 2 (gpm) Unnamed: 3_level_3,16B-DIS TEMP (degF) Unnamed: 4_level_3,SEP DIS FLOW 1 (gpm) Unnamed: 5_level_3,SEP DIS FLOW 2 (gpm) Unnamed: 6_level_3,SEP FLOW TOTAL (gpm) Unnamed: 7_level_3,16A Wellhead Pressure (psi),Liberty Pump Rate (bpm),Liberty Wellhead Pressure (psi),TIME
2024-08-08 07:21:30,0.0,0.11,0.0,71.92,0.0,0.0,0.0,0.0,0.0,0.0,1290.0
2024-08-08 07:22:00,0.0,0.11,0.0,71.92,0.0,0.0,0.0,0.0,0.0,0.0,1320.0
2024-08-08 07:22:30,0.0,0.11,0.0,71.98,0.0,0.0,0.0,0.0,0.0,0.0,1350.0
2024-08-08 07:23:00,0.0,0.11,0.0,72.05,0.0,0.0,0.0,0.0,0.0,0.0,1380.0
2024-08-08 07:23:30,0.0,0.11,0.0,72.05,0.0,0.0,0.0,0.0,0.0,0.0,1410.0
2024-08-08 07:24:00,0.0,0.11,0.0,72.05,0.0,0.0,0.0,0.0,0.0,0.0,1440.0
2024-08-08 07:24:30,0.0,0.11,0.0,72.05,0.0,0.0,0.0,0.0,0.0,0.0,1470.0
2024-08-08 07:25:00,0.0,0.11,0.0,72.12,0.0,0.0,0.0,0.0,0.0,0.0,1500.0
2024-08-08 07:25:30,0.0,0.11,0.0,72.12,0.0,0.0,0.0,0.0,0.0,0.0,1530.0
2024-08-08 07:26:00,0.0,0.11,0.0,72.18,0.0,0.0,0.0,0.0,0.0,0.0,1560.0
2024-08-08 07:26:30,0.0,0.11,0.0,72.18,0.0,0.0,0.0,0.0,0.0,0.0,1590.0
2024-08-08 07:27:00,0.0,0.11,0.0,72.25,0.0,0.0,0.0,0.0,0.0,0.0,1620.0
2024-08-08 07:27:30,0.0,0.11,0.0,72.25,0.0,0.0,0.0,0.0,0.0,0.0,1650.0
2024-08-08 07:28:00,0.0,0.11,0.0,72.32,0.0,0.0,0.0,0.0,0.0,0.0,1680.0
2024-08-08 07:28:30,0.0,0.11,0.0,72.32,0.0,0.0,0.0,0.0,0.0,0.0,1710.0
2024-08-08 07:29:00,0.0,0.11,0.0,72.38,0.0,0.0,0.0,0.0,0.0,0.0,1740.0
2024-08-08 07:29:30,0.0,0.11,0.0,72.45,0.0,0.0,0.0,0.0,0.0,0.0,1770.0
2024-08-08 07:30:00,0.0,0.11,0.0,72.51,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
2024-08-08 07:30:30,0.0,0.11,0.0,72.51,0.0,0.0,0.0,0.0,0.0,0.0,1830.0
2024-08-08 07:31:00,0.0,0.11,0.0,72.58,0.0,0.0,0.0,0.0,0.0,0.0,1860.0
2024-08-08 07:31:30,0.0,0.11,0.0,72.58,0.0,0.0,0.0,0.0,0.0,0.0,1890.0
2024-08-08 07:32:00,0.0,0.11,0.0,72.65,0.0,0.0,0.0,0.0,0.0,0.0,1920.0
2024-08-08 07:32:30,0.0,0.11,0.0,72.71,0.0,0.0,0.0,0.0,0.0,0.0,1950.0
2024-08-08 07:33:00,0.0,0.11,0.0,72.71,0.0,0.0,0.0,0.0,0.0,0.0,1980.0
2024-08-08 07:33:30,0.0,0.11,0.0,72.71,0.0,0.0,0.0,0.0,0.0,0.0,2010.0
2024-08-08 07:34:00,0.0,0.11,0.0,72.78,0.0,0.0,0.0,0.0,0.0,0.0,2040.0
2024-08-08 07:34:30,0.0,0.11,0.0,72.85,0.0,0.0,0.0,0.0,0.0,0.0,2070.0
2024-08-08 07:35:00,0.0,0.11,0.0,72.85,0.0,0.0,0.0,0.0,0.0,0.0,2100.0
2024-08-08 07:35:30,0.0,0.11,0.0,72.91,0.0,0.0,0.0,0.0,0.0,0.0,2130.0
2024-08-08 07:36:00,0.0,0.11,0.0,72.98,0.0,0.0,0.0,0.0,0.0,0.0,2160.0
2024-08-08 07:36:30,0.0,0.11,0.0,72.98,0.0,0.0,0.0,0.0,0.0,0.0,2190.0
2024-08-08 07:37:00,0.0,0.11,0.0,73.05,0.0,0.0,0.0,0.0,0.0,0.0,2220.0
2024-08-08 07:37:30,0.0,0.11,0.0,73.05,0.0,0.0,0.0,0.0,0.0,0.0,2250.0
2024-08-08 07:38:00,0.0,0.11,0.0,73.11,0.0,0.0,0.0,0.0,0.0,0.0,2280.0
2024-08-08 07:38:30,0.0,0.11,0.0,73.18,0.0,0.0,0.0,0.0,0.0,0.0,2310.0
2024-08-08 07:39:00,0.0,0.11,0.0,73.18,0.0,0.0,0.0,0.0,0.0,0.0,2340.0
2024-08-08 07:39:30,0.0,0.11,0.0,73.24,0.0,0.0,0.0,0.0,0.0,0.0,2370.0
2024-08-08 07:40:00,0.0,0.11,0.0,73.31,0.0,0.0,0.0,0.0,0.0,0.0,2400.0
2024-08-08 07:40:30,0.0,0.11,0.0,73.38,0.0,0.0,0.0,0.0,0.0,0.0,2430.0
2024-08-08 07:41:00,0.0,0.11,0.0,73.44,0.0,0.0,0.0,0.0,0.0,0.0,2460.0
2024-08-08 07:41:30,0.0,0.11,0.0,73.44,0.0,0.0,0.0,0.0,0.0,0.0,2490.0
2024-08-08 07:42:00,0.0,0.11,0.0,73.51,0.0,0.0,0.0,0.0,0.0,0.0,2520.0
2024-08-08 07:42:30,0.0,0.11,0.0,73.58,0.0,0.0,0.0,0.0,0.0,0.0,2550.0
2024-08-08 07:43:00,0.0,0.11,0.0,73.64,0.0,0.0,0.0,0.0,0.0,0.0,2580.0
2024-08-08 07:43:30,0.0,0.11,0.0,73.71,0.0,0.0,0.0,0.0,0.0,0.0,2610.0
2024-08-08 07:44:00,0.0,0.11,0.0,73.71,0.0,0.0,0.0,0.0,0.0,0.0,2640.0
2024-08-08 07:44:30,0.0,0.11,0.0,73.84,0.0,0.0,0.0,0.0,0.0,0.0,2670.0
2024-08-08 07:45:00,0.0,0.11,0.0,73.91,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
2024-08-08 07:45:30,0.0,0.11,0.0,73.97,0.0,0.0,0.0,0.0,0.0,0.0,2730.0
2024-08-08 07:46:00,0.0,0.11,0.0,74.04,0.0,0.0,0.0,0.0,0.0,0.0,2760.0
2024-08-08 07:46:30,0.0,0.11,0.0,74.11,0.0,0.0,0.0,0.0,0.0,0.0,2790.0
2024-08-08 07:47:00,0.0,0.11,0.0,74.17,0.0,0.0,0.0,0.0,0.0,0.0,2820.0
2024-08-08 07:47:30,0.0,0.11,0.0,74.24,0.0,0.0,0.0,0.0,0.0,0.0,2850.0
2024-08-08 07:48:00,0.0,0.11,0.0,74.31,0.0,0.0,0.0,0.0,0.0,0.0,2880.0
2024-08-08 07:48:30,0.0,0.11,0.0,74.37,0.0,0.0,0.0,0.0,0.0,0.0,2910.0
2024-08-08 07:49:00,0.0,0.11,0.0,74.51,0.0,0.0,0.0,0.0,0.0,0.0,2940.0
2024-08-08 07:49:30,0.0,0.11,0.0,74.57,0.0,0.0,0.0,0.0,0.0,0.0,2970.0
2024-08-08 07:50:00,0.0,0.11,0.0,74.64,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
2024-08-08 07:50:30,0.0,0.11,0.0,74.7,0.0,0.0,0.0,0.0,0.0,0.0,3030.0
2024-08-08 07:51:00,0.0,0.11,0.0,74.77,0.0,0.0,0.0,0.0,0.0,0.0,3060.0
2024-08-08 07:51:30,0.0,0.11,0.0,74.84,0.0,0.0,0.0,0.0,0.0,0.0,3090.0
2024-08-08 07:52:00,0.0,0.11,0.0,74.9,0.0,0.0,0.0,0.0,0.0,0.0,3120.0
2024-08-08 07:52:30,0.0,0.11,0.0,75.04,0.0,0.0,0.0,0.0,0.0,0.0,3150.0
2024-08-08 07:53:00,0.0,0.11,0.0,75.1,0.0,0.0,0.0,0.0,0.0,0.0,3180.0
2024-08-08 07:53:30,0.0,0.11,0.0,75.17,0.0,0.0,0.0,0.0,0.0,0.0,3210.0
2024-08-08 07:54:00,0.0,0.11,0.0,75.24,0.0,0.0,0.0,0.0,0.0,0.0,3240.0
2024-08-08 07:54:30,0.0,0.11,0.0,75.37,0.0,0.0,0.0,0.0,0.0,0.0,3270.0
2024-08-08 07:55:00,0.0,0.11,0.0,75.44,0.0,0.0,0.0,0.0,0.0,0.0,3300.0
2024-08-08 07:55:30,0.0,0.11,0.0,75.5,0.0,0.0,0.0,0.0,0.0,0.0,3330.0
2024-08-08 07:56:00,0.0,0.11,0.0,75.57,0.0,0.0,0.0,0.0,0.0,0.0,3360.0
2024-08-08 07:56:30,0.0,0.11,0.0,75.63,0.0,0.0,0.0,0.0,0.0,0.0,3390.0
2024-08-08 07:57:00,0.0,0.11,0.0,75.77,0.0,0.0,0.0,0.0,0.0,0.0,3420.0
2024-08-08 07:57:30,0.0,0.11,0.0,75.83,0.0,0.0,0.0,0.0,0.0,0.0,3450.0
2024-08-08 07:58:00,0.0,0.11,0.0,75.9,0.0,0.0,0.0,0.0,0.0,0.0,3480.0
2024-08-08 07:58:30,0.0,0.11,0.0,76.03,0.0,0.0,0.0,0.0,0.0,0.0,3510.0
2024-08-08 07:59:00,0.0,0.11,0.0,76.1,0.0,0.0,0.0,0.0,0.0,0.0,3540.0
2024-08-08 07:59:30,0.0,0.11,0.0,76.17,0.0,0.0,0.0,0.0,0.0,0.0,3570.0
2024-08-08 08:00:00,0.0,0.11,0.0,76.23,0.0,0.0,0.0,0.0,0.0,0.0,3600.0
2024-08-08 08:00:30,0.0,0.11,0.0,76.3,0.0,0.0,0.0,0.0,0.0,0.0,3630.0
2024-08-08 08:01:00,0.0,0.11,0.0,76.43,0.0,0.0,0.0,0.0,0.0,0.0,3660.0
2024-08-08 08:01:30,0.0,0.11,0.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0,3690.0
2024-08-08 08:02:00,0.0,0.11,0.0,76.63,0.0,0.0,0.0,0.0,0.0,0.0,3720.0
2024-08-08 08:02:30,0.0,0.11,0.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0,3750.0
2024-08-08 08:03:00,0.0,0.11,0.0,76.76,0.0,0.0,0.0,0.0,0.0,0.0,3780.0
2024-08-08 08:03:30,0.0,0.11,0.0,76.83,0.0,0.0,0.0,0.0,0.0,0.0,3810.0
2024-08-08 08:04:00,0.0,0.11,0.0,76.9,0.0,0.0,0.0,0.0,0.0,0.0,3840.0
2024-08-08 08:04:30,0.0,0.11,0.0,77.03,0.0,0.0,0.0,0.0,0.0,0.0,3870.0
2024-08-08 08:05:00,0.0,0.11,0.0,77.09,0.0,0.0,0.0,0.0,0.0,0.0,3900.0
2024-08-08 08:05:30,0.0,0.11,0.0,77.16,0.0,0.0,0.0,0.0,0.0,0.0,3930.0
2024-08-08 08:06:00,0.0,0.11,0.0,77.23,0.0,0.0,0.0,0.0,0.0,0.0,3960.0
2024-08-08 08:06:30,0.0,0.11,0.0,77.29,0.0,0.0,0.0,0.0,0.0,0.0,3990.0
2024-08-08 08:07:00,0.0,0.11,0.0,77.43,0.0,0.0,0.0,0.0,0.0,0.0,4020.0
2024-08-08 08:07:30,0.0,0.11,0.0,77.56,0.0,0.0,0.0,0.0,0.0,0.0,4050.0
2024-08-08 08:08:00,0.0,0.11,0.0,77.56,0.0,0.0,0.0,0.0,0.0,0.0,4080.0
2024-08-08 08:08:30,0.0,0.11,0.0,77.69,0.0,0.0,0.0,0.0,0.0,0.0,4110.0
2024-08-08 08:09:00,0.0,0.11,0.0,77.76,0.0,0.0,0.0,0.0,0.0,0.0,4140.0
2024-08-08 08:09:30,0.0,0.11,0.0,77.82,0.0,0.0,0.0,0.0,0.0,0.0,4170.0
2024-08-08 08:10:00,0.0,0.11,0.0,77.89,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
2024-08-08 08:10:30,0.0,0.11,0.0,77.96,0.0,0.0,0.0,0.0,0.0,0.0,4230.0
2024-08-08 08:11:00,0.0,0.11,0.0,78.09,0.0,0.0,0.0,0.0,0.0,0.0,4260.0
2024-08-08 08:11:30,0.0,0.11,0.0,78.22,0.0,0.0,0.0,0.0,0.0,0.0,4290.0
2024-08-08 08:12:00,0.0,0.11,0.0,78.29,0.0,0.0,0.0,0.0,0.0,0.0,4320.0
2024-08-08 08:12:30,0.0,0.11,0.0,78.36,0.0,0.0,0.0,0.0,0.0,0.0,4350.0
2024-08-08 08:13:00,0.0,0.11,0.0,78.42,0.0,0.0,0.0,0.0,0.0,0.0,4380.0
2024-08-08 08:13:30,0.0,0.11,0.0,78.49,0.0,0.0,0.0,0.0,0.0,0.0,4410.0
2024-08-08 08:14:00,0.0,0.11,0.0,78.56,0.0,0.0,0.0,0.0,0.0,0.0,4440.0
2024-08-08 08:14:30,0.0,0.11,0.0,78.69,0.0,0.0,0.0,0.0,0.0,0.0,4470.0
2024-08-08 08:15:00,0.0,0.11,0.0,78.75,0.0,0.0,0.0,0.0,0.0,0.0,4500.0
2024-08-08 08:15:30,0.0,0.11,0.0,78.82,0.0,0.0,0.0,0.0,0.0,0.0,4530.0
2024-08-08 08:16:00,0.0,0.11,0.0,78.89,0.0,0.0,0.0,0.0,0.0,0.0,4560.0
2024-08-08 08:16:30,0.0,0.11,0.0,78.95,0.0,0.0,0.0,0.0,0.0,0.0,4590.0
2024-08-08 08:17:00,0.0,0.11,0.0,79.09,0.0,0.0,0.0,0.0,0.0,0.0,4620.0
2024-08-08 08:17:30,0.0,0.11,0.0,79.15,0.0,0.0,0.0,0.0,0.0,0.0,4650.0
2024-08-08 08:18:00,0.0,0.11,0.0,79.22,0.0,0.0,0.0,0.0,0.0,0.0,4680.0
2024-08-08 08:18:30,0.0,0.11,0.0,79.29,0.0,0.0,0.0,0.0,0.0,0.0,4710.0
2024-08-08 08:19:00,0.0,0.11,0.0,79.35,0.0,0.0,0.0,0.0,0.0,0.0,4740.0
2024-08-08 08:19:30,0.0,0.11,0.0,79.42,0.0,0.0,0.0,0.0,0.0,0.0,4770.0
2024-08-08 08:20:00,0.0,0.11,0.0,79.48,0.0,0.0,0.0,0.0,0.0,0.0,4800.0
2024-08-08 08:20:30,0.0,0.11,0.0,79.62,0.0,0.0,0.0,0.0,0.0,0.0,4830.0
2024-08-08 08:21:00,0.0,0.11,0.0,79.68,0.0,0.0,0.0,0.0,0.0,0.0,4860.0
2024-08-08 08:21:30,0.0,0.11,0.0,79.75,0.0,0.0,0.0,0.0,0.0,0.0,4890.0
2024-08-08 08:22:00,0.0,0.11,0.0,79.82,0.0,0.0,0.0,0.0,0.0,0.0,4920.0
2024-08-08 08:22:30,0.0,0.11,0.0,79.82,0.0,0.0,0.0,0.0,0.0,0.0,4950.0
2024-08-08 08:23:00,0.0,0.11,0.0,79.95,0.0,0.0,0.0,0.0,0.0,0.0,4980.0
2024-08-08 08:23:30,0.0,0.11,0.0,80.02,0.0,0.0,0.0,0.0,0.0,0.0,5010.0
2024-08-08 08:24:00,0.0,0.11,0.0,80.08,0.0,0.0,0.0,0.0,0.0,0.0,5040.0
2024-08-08 08:24:30,0.0,0.11,0.0,80.15,0.0,0.0,0.0,0.0,0.0,0.0,5070.0
2024-08-08 08:25:00,0.0,0.11,0.0,80.21,0.0,0.0,0.0,0.0,0.0,0.0,5100.0
2024-08-08 08:25:30,0.0,0.11,0.0,80.28,0.0,0.0,0.0,0.0,0.0,0.0,5130.0
2024-08-08 08:26:00,0.0,0.11,0.0,80.35,0.0,0.0,0.0,0.0,0.0,0.0,5160.0
2024-08-08 08:26:30,0.0,0.11,0.0,80.41,0.0,0.0,0.0,0.0,0.0,0.0,5190.0
2024-08-08 08:27:00,0.0,0.11,0.0,80.55,0.0,0.0,0.0,0.0,0.0,0.0,5220.0
2024-08-08 08:27:30,0.0,0.11,0.0,80.55,0.0,0.0,0.0,0.0,0.0,0.0,5250.0
2024-08-08 08:28:00,0.0,0.11,0.0,80.68,0.0,0.0,0.0,0.0,0.0,0.0,5280.0
2024-08-08 08:28:30,0.0,0.11,0.0,80.75,0.0,0.0,0.0,0.0,0.0,0.0,5310.0
2024-08-08 08:29:00,0.0,0.11,0.0,80.81,0.0,0.0,0.0,0.0,0.0,0.0,5340.0
2024-08-08 08:29:30,0.0,0.11,0.0,80.88,0.0,0.0,0.0,0.0,0.0,0.0,5370.0
2024-08-08 08:30:00,0.0,0.11,0.0,80.94,0.0,0.0,0.0,0.0,0.0,0.0,5400.0
2024-08-08 08:30:30,0.0,0.11,0.0,81.01,0.0,0.0,0.0,0.0,0.0,0.0,5430.0
2024-08-08 08:31:00,0.0,0.11,0.0,81.08,0.0,0.0,0.0,0.0,0.0,0.0,5460.0
2024-08-08 08:31:30,0.0,0.11,0.0,81.14,0.0,0.0,0.0,0.611,0.0,0.0,5490.0
2024-08-08 08:32:00,0.0,0.11,0.0,81.21,0.0,0.0,0.0,0.611,0.0,0.0,5520.0
2024-08-08 08:32:30,0.0,0.11,0.0,81.28,0.0,0.0,0.0,0.611,0.0,0.0,5550.0
2024-08-08 08:33:00,0.0,0.11,0.0,81.41,0.0,0.0,0.0,0.611,0.0,0.0,5580.0
2024-08-08 08:33:30,0.0,0.11,0.0,81.41,0.0,0.0,0.0,0.611,0.0,0.0,5610.0
2024-08-08 08:34:00,0.0,0.11,0.0,81.54,0.0,0.0,0.0,0.611,0.0,0.0,5640.0
2024-08-08 08:34:30,0.0,0.11,0.0,81.54,0.0,0.0,0.0,0.0,0.0,0.0,5670.0
2024-08-08 08:35:00,0.0,0.11,0.0,81.67,0.0,0.0,0.0,0.611,0.0,0.0,5700.0
2024-08-08 08:35:30,0.0,0.11,0.0,81.74,0.0,0.0,0.0,0.611,0.0,0.0,5730.0
2024-08-08 08:36:00,0.0,0.11,0.0,81.81,0.0,0.0,0.0,0.611,0.0,0.0,5760.0
2024-08-08 08:36:30,0.0,0.11,0.0,81.94,0.0,0.0,0.0,0.0,0.0,0.0,5790.0
2024-08-08 08:37:00,0.0,0.11,0.0,82.01,0.0,0.0,0.0,0.611,0.0,0.0,5820.0
2024-08-08 08:37:30,0.0,0.11,0.0,82.07,0.0,0.0,0.0,0.611,0.0,0.0,5850.0
2024-08-08 08:38:00,0.0,0.11,0.0,82.14,0.0,0.0,0.0,0.611,0.0,0.0,5880.0
2024-08-08 08:38:30,0.0,0.11,0.0,82.21,0.0,0.0,0.0,0.611,0.0,0.0,5910.0
2024-08-08 08:39:00,0.0,0.11,0.0,82.27,0.0,0.0,0.0,0.611,0.0,0.0,5940.0
2024-08-08 08:39:30,0.0,0.11,0.0,82.41,0.0,0.0,0.0,0.611,0.0,0.0,5970.0
2024-08-08 08:40:00,0.0,0.11,0.0,82.47,0.0,0.0,0.0,0.611,0.0,0.0,6000.0
2024-08-08 08:40:30,0.0,0.11,0.0,82.54,0.0,0.0,0.0,0.611,0.0,0.0,6030.0
2024-08-08 08:41:00,0.0,0.11,0.0,82.6,0.0,0.0,0.0,0.611,0.0,0.0,6060.0
2024-08-08 08:41:30,0.0,0.11,0.0,82.74,0.0,0.0,0.0,0.611,0.0,0.0,6090.0
2024-08-08 08:42:00,0.0,0.11,0.0,82.8,0.0,0.0,0.0,0.611,0.0,0.0,6120.0
2024-08-08 08:42:30,0.0,0.11,0.0,82.87,0.0,0.0,0.0,0.611,0.0,0.0,6150.0
2024-08-08 08:43:00,0.0,0.11,0.0,82.94,0.0,0.0,0.0,0.611,0.0,0.0,6180.0
2024-08-08 08:43:30,0.0,0.11,0.0,83.0,0.0,0.0,0.0,0.611,0.0,0.0,6210.0
2024-08-08 08:44:00,0.0,0.11,0.0,83.07,0.0,0.0,0.0,0.611,0.0,0.0,6240.0
2024-08-08 08:44:30,0.0,0.11,0.0,83.14,0.0,0.0,0.0,0.611,0.0,0.0,6270.0
2024-08-08 08:45:00,0.0,0.11,0.0,83.27,0.0,0.0,0.0,0.611,0.0,0.0,6300.0
2024-08-08 08:45:30,0.0,0.11,0.0,83.27,0.0,0.0,0.0,0.611,0.0,0.0,6330.0
2024-08-08 08:46:00,0.0,0.11,0.0,83.4,0.0,0.0,0.0,0.611,0.0,0.0,6360.0
2024-08-08 08:46:30,0.0,0.11,0.0,83.47,0.0,0.0,0.0,0.611,0.0,0.0,6390.0
2024-08-08 08:47:00,0.0,0.11,0.0,83.53,0.0,0.0,0.0,1.236,0.0,0.0,6420.0
2024-08-08 08:47:30,0.0,0.11,0.0,83.53,0.0,0.0,0.0,0.611,0.0,0.0,6450.0
2024-08-08 08:48:00,0.0,0.11,0.0,83.6,0.0,0.0,0.0,0.611,0.0,0.0,6480.0
2024-08-08 08:48:30,0.0,0.11,0.0,83.67,0.0,0.0,0.0,1.236,0.0,0.0,6510.0
2024-08-08 08:49:00,0.0,0.11,0.0,83.8,0.0,0.0,0.0,1.236,0.0,0.0,6540.0
2024-08-08 08:49:30,0.0,0.11,0.0,83.8,0.0,0.0,0.0,1.236,0.0,0.0,6570.0
2024-08-08 08:50:00,0.0,0.11,0.0,83.87,0.0,0.0,0.0,1.236,0.0,0.0,6600.0
2024-08-08 08:50:30,0.0,0.11,0.0,83.93,0.0,0.0,0.0,1.236,0.0,0.0,6630.0
2024-08-08 08:51:00,0.0,0.11,0.0,84.0,0.0,0.0,0.0,1.236,0.0,0.0,6660.0
2024-08-08 08:51:30,0.0,0.11,0.0,84.06,0.0,0.0,0.0,1.236,0.0,0.0,6690.0
2024-08-08 08:52:00,0.0,29.44,0.0,84.13,0.0,0.0,0.0,1.236,0.0,0.0,6720.0
2024-08-08 08:52:30,0.0,0.11,0.0,84.13,0.0,0.0,0.0,1.236,0.0,0.0,6750.0
2024-08-08 08:53:00,0.0,6.15,0.0,84.2,0.0,0.0,0.0,1.236,0.0,0.0,6780.0
2024-08-08 08:53:30,0.0,39.75,0.0,84.26,0.0,0.0,0.0,1.236,0.0,0.0,6810.0
2024-08-08 08:54:00,0.0,0.11,0.0,84.33,0.0,0.0,0.0,1.236,0.0,0.0,6840.0
2024-08-08 08:54:30,0.0,26.55,0.0,84.4,0.0,0.0,0.0,1.236,0.0,0.0,6870.0
2024-08-08 08:55:00,0.0,0.11,0.0,84.46,0.0,0.0,0.0,1.236,0.0,0.0,6900.0
2024-08-08 08:55:30,0.0,600.77,0.0,84.53,0.0,0.0,0.0,1.236,0.0,0.0,6930.0
