"ghostRank","totalDisplacement:0","totalDisplacement:1","totalDisplacement:2","mass","externalForce:0","externalForce:1","externalForce:2","poromechanicsSolver_totalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","temperature","pressure","elementVolume","deltaPressure","elementCenter:0","elementCenter:1","elementCenter:2","poromechanicsSolver_primaryVariables_dofIndex","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,0.056417,0.012199,0,5.6609e+07,0,0,0,3801,1e-18,1e-18,1e-18,0.3,0.3,-3.3401e+07,-3.3658e+07,-2.8509e+07,-7.8203e-08,6.0181e-08,3.4125e+06,1007.3,0,3.5041e+07,39706,41466,-90.808,-167.24,1500,83667,1,540.4,-96.892,-168,2000
-2,0.055835,0.0088466,1.9342e-31,5.66e+07,0,0,0,3806,1e-18,1e-18,1e-18,0.3,0.3,-3.3039e+07,-3.4015e+07,-2.8508e+07,-7.6457e-08,6.2059e-08,3.9571e+06,1007.3,0,3.5038e+07,39782,37801,-94.779,-174.14,1500,83669,1,547.32,-100.36,-174,2000
-2,0.054912,0.0054977,0,5.6591e+07,0,0,0,3810,1e-18,1e-18,1e-18,0.3,0.3,-3.2598e+07,-3.4445e+07,-2.8506e+07,-7.4838e-08,6.3389e-08,4.5707e+06,1007.3,0,3.503e+07,39857,29592,-98.75,-181.03,1500,83671,1,554.25,-103.82,-180,2000
-2,0.05357,0.0021543,0,5.6582e+07,0,0,0,3814,1e-18,1e-18,1e-18,0.3,0.3,-3.2326e+07,-3.4704e+07,-2.8504e+07,-7.5532e-08,6.3671e-08,4.9208e+06,1007.3,0,3.5021e+07,39895,20969,-100.74,-184.48,1500,83672,1,561.18,-107.28,-186,2000
-2,0.051611,-0.0011788,-2.1051e-31,5.6573e+07,0,0,0,3819,1e-18,1e-18,1e-18,0.3,0.3,-3.1555e+07,-3.5393e+07,-2.8492e+07,-7.4621e-08,6.4596e-08,5.7812e+06,1007.3,0,3.4965e+07,39970,-34803,-104.71,-191.38,1500,83674,1,568.11,-110.75,-192,2000
-2,0.048391,-0.0044567,2.1626e-31,8.0317e+07,0,0,0,2264,1e-18,1e-18,1e-18,0.3,0.30004,-2.9337e+07,-3.6703e+07,-2.8356e+07,-7.4076e-08,6.5672e-08,7.0845e+06,1007.2,0,3.4342e+07,40046,-6.578e+05,-108.68,-198.28,1500,83676,1,575.04,-114.21,-198,2000
-2,0.044757,-0.0055407,2.2159e-31,1.3497e+08,0,0,0,1698,1e-18,1e-18,1e-18,0.3,0.29997,-2.7739e+07,-3.9996e+07,-2.861e+07,-7.4094e-08,6.6078e-08,5.5357e+06,1007.4,0,3.5504e+07,1.2036e+05,5.0378e+05,-112.65,-205.17,1500,85330,1,581.96,-117.68,-204,2000
-2,0.041604,-0.0055792,0,1.6775e+08,0,0,0,4079,1e-18,1e-18,1e-18,0.3,0.29997,-2.7739e+07,-3.9996e+07,-2.861e+07,-7.4094e-08,6.6078e-08,5.5357e+06,1007.4,0,3.5504e+07,1.2036e+05,5.0378e+05,-112.65,-205.17,1500,85330,1,588.89,-121.14,-210,2000
-2,0.039785,-0.0055264,0,1.6961e+08,0,0,0,4218,1e-18,1e-18,1e-18,0.3,0.3,-2.7034e+07,-3.9932e+07,-2.8495e+07,-7.3183e-08,6.6617e-08,3.3207e+06,1007.3,0,3.4978e+07,1.207e+05,-22386,-118.61,-215.52,1500,85331,1,595.82,-124.6,-216,2000
-2,0.038125,-0.0054673,0,1.6958e+08,0,0,0,4220,1e-18,1e-18,1e-18,0.3,0.3,-2.7372e+07,-3.9721e+07,-2.8514e+07,-7.2782e-08,6.7954e-08,2.445e+06,1007.3,0,3.5065e+07,1.2104e+05,64656,-124.56,-225.86,1500,85332,1,602.75,-128.07,-222,2000
-2,0.036747,-0.0054056,0,1.6956e+08,0,0,0,4222,1e-18,1e-18,1e-18,0.3,0.3,-2.7372e+07,-3.9721e+07,-2.8514e+07,-7.2782e-08,6.7954e-08,2.445e+06,1007.3,0,3.5065e+07,1.2104e+05,64656,-124.56,-225.86,1500,85332,1,609.68,-131.53,-228,2000
-2,0.035511,-0.0053404,0,1.6953e+08,0,0,0,4224,1e-18,1e-18,1e-18,0.3,0.3,-2.7508e+07,-3.9551e+07,-2.8509e+07,-7.2304e-08,6.9976e-08,1.9141e+06,1007.3,0,3.5041e+07,1.2138e+05,41145,-130.52,-236.21,1500,85333,1,616.61,-135,-234,2000
-2,0.034421,-0.0052718,2.5145e-31,1.695e+08,0,0,0,4226,1e-18,1e-18,1e-18,0.3,0.3,-2.7508e+07,-3.9551e+07,-2.8509e+07,-7.2304e-08,6.9976e-08,1.9141e+06,1007.3,0,3.5041e+07,1.2138e+05,41145,-130.52,-236.21,1500,85333,1,623.53,-138.46,-240,2000
-2,0.03347,-0.0052005,-2.5626e-31,1.6948e+08,0,0,0,4228,1e-18,1e-18,1e-18,0.3,0.3,-2.7644e+07,-3.9421e+07,-2.851e+07,-6.9727e-08,7.1875e-08,1.5623e+06,1007.3,0,3.5046e+07,1.2172e+05,45521,-136.48,-246.55,1500,85334,1,630.46,-141.92,-246,2000
-2,0.032568,-0.0051282,-2.611e-31,1.6945e+08,0,0,0,4230,1e-18,1e-18,1e-18,0.3,0.3,-2.7743e+07,-3.932e+07,-2.8509e+07,-6.7988e-08,7.3279e-08,1.3063e+06,1007.3,0,3.5044e+07,1.2206e+05,44005,-142.43,-256.9,1500,85335,1,637.39,-145.39,-252,2000
-2,0.031798,-0.0050523,0,1.6942e+08,0,0,0,4232,1e-18,1e-18,1e-18,0.3,0.3,-2.7743e+07,-3.932e+07,-2.8509e+07,-6.7988e-08,7.3279e-08,1.3063e+06,1007.3,0,3.5044e+07,1.2206e+05,44005,-142.43,-256.9,1500,85335,1,644.32,-148.85,-258,2000
-2,0.031061,-0.0049754,0,1.694e+08,0,0,0,4234,1e-18,1e-18,1e-18,0.3,0.3,-2.7824e+07,-3.924e+07,-2.8509e+07,-6.6411e-08,7.3264e-08,1.1107e+06,1007.3,0,3.5044e+07,1.224e+05,44093,-148.39,-267.24,1500,85336,1,651.25,-152.32,-264,2000
-2,0.030396,-0.0048961,-2.7411e-31,1.6937e+08,0,0,0,4235,1e-18,1e-18,1e-18,0.3,0.3,-2.7824e+07,-3.924e+07,-2.8509e+07,-6.6411e-08,7.3264e-08,1.1107e+06,1007.3,0,3.5044e+07,1.224e+05,44093,-148.39,-267.24,1500,85336,1,658.17,-155.78,-270,2000
-2,0.029782,-0.0048148,0,1.6934e+08,0,0,0,4237,1e-18,1e-18,1e-18,0.3,0.3,-2.7888e+07,-3.9175e+07,-2.8509e+07,-6.2316e-08,7.2722e-08,9.5546e+05,1007.3,0,3.5044e+07,1.2274e+05,43857,-154.35,-277.59,1500,85337,1,665.1,-159.24,-276,2000
-2,0.029202,-0.004732,0,1.6932e+08,0,0,0,4239,1e-18,1e-18,1e-18,0.3,0.3,-2.7888e+07,-3.9175e+07,-2.8509e+07,-6.2316e-08,7.2722e-08,9.5546e+05,1007.3,0,3.5044e+07,1.2274e+05,43857,-154.35,-277.59,1500,85337,1,672.03,-162.71,-282,2000
-2,0.028682,-0.0046461,0,1.6929e+08,0,0,0,4241,1e-18,1e-18,1e-18,0.3,0.3,-2.7941e+07,-3.9122e+07,-2.8509e+07,-5.8184e-08,7.2997e-08,8.2893e+05,1007.3,0,3.5044e+07,1.2308e+05,43725,-160.3,-287.93,1500,85338,1,678.96,-166.17,-288,2000
-2,0.028179,-0.0045593,0,1.6926e+08,0,0,0,4243,1e-18,1e-18,1e-18,0.3,0.3,-2.7985e+07,-3.9078e+07,-2.8509e+07,-5.7535e-08,7.2945e-08,7.2354e+05,1007.3,0,3.5044e+07,1.2342e+05,43581,-166.26,-298.28,1500,85339,1,685.89,-169.64,-294,2000
-2,0.027725,-0.0044694,-2.967e-31,1.6924e+08,0,0,0,4245,1e-18,1e-18,1e-18,0.3,0.3,-2.7985e+07,-3.9078e+07,-2.8509e+07,-5.7535e-08,7.2945e-08,7.2354e+05,1007.3,0,3.5044e+07,1.2342e+05,43581,-166.26,-298.28,1500,85339,1,692.82,-173.1,-300,2000
