# Symmetric three-point bending: reference load-deflection curve
# Source: C. Miehe, M. Hofacker, F. Welschinger, Computer Methods in Applied Mechanics
# and Engineering 199:2765-2778, 2010, Fig. 12b: length scale l2 = 0.03 mm, eta = 0.
# Digitized from refcurve_threepointbending.jpg by extracting the curve pixels of the
# right-hand panel and calibrating on the axis frame (u = 0 to 0.10 mm, F = 0 to 0.04 kN).
# Caveat: the eta = 0 curve is only distinguishable from the two others between
# u = 0.0395 and u = 0.0506 mm. Elsewhere the three curves of the panel are drawn on top
# of each other, so those samples follow the visible (green) curve, which coincides with
# the eta = 0 one on the elastic branch and merges with it again in the tail.
# deflection [mm],load [kN per mm of thickness]
7.596567e-02,3.228070e-03
7.639485e-02,3.228070e-03
7.682403e-02,3.228070e-03
7.725322e-02,3.228070e-03
7.768240e-02,3.228070e-03
7.811159e-02,3.087719e-03
7.854077e-02,3.087719e-03
7.896996e-02,3.087719e-03
7.939914e-02,3.087719e-03
7.982833e-02,3.087719e-03
8.025751e-02,2.947368e-03
8.068670e-02,2.947368e-03
8.111588e-02,2.947368e-03
8.154506e-02,2.947368e-03
8.197425e-02,2.807018e-03
8.240343e-02,2.807018e-03
8.283262e-02,2.807018e-03
8.326180e-02,2.807018e-03
8.369099e-02,2.666667e-03
8.412017e-02,2.666667e-03
8.454936e-02,2.666667e-03
8.497854e-02,2.666667e-03
8.540773e-02,2.526316e-03
8.583691e-02,2.526316e-03
8.626609e-02,2.526316e-03
8.669528e-02,2.385965e-03
8.712446e-02,2.385965e-03
8.755365e-02,2.385965e-03
8.798283e-02,2.385965e-03
8.841202e-02,2.385965e-03
8.884120e-02,2.385965e-03
8.927039e-02,2.385965e-03
8.969957e-02,2.385965e-03
9.012876e-02,2.385965e-03
9.055794e-02,2.245614e-03
9.098712e-02,2.245614e-03
9.141631e-02,2.245614e-03
9.184549e-02,2.245614e-03
9.227468e-02,2.245614e-03
9.270386e-02,2.245614e-03
9.313305e-02,2.245614e-03
9.356223e-02,2.245614e-03
9.399142e-02,2.245614e-03
9.442060e-02,2.105263e-03
9.484979e-02,2.105263e-03
9.527897e-02,2.105263e-03
9.570815e-02,2.105263e-03
9.613734e-02,2.105263e-03
9.656652e-02,2.105263e-03
9.699571e-02,2.105263e-03
9.742489e-02,2.105263e-03
9.785408e-02,2.105263e-03
9.828326e-02,2.105263e-03
9.871245e-02,2.105263e-03
9.914163e-02,2.105263e-03
9.957082e-02,2.105263e-03
1.000000e-01,2.105263e-03
