[2018-09-10 12:08:28] DEBUG:   MeshVersionFormatted 2 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Dimension 3 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   RequiredVertices is ignored
[2018-09-10 12:08:28] DEBUG:   0 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Edges is ignored
[2018-09-10 12:08:28] DEBUG:   516 is ignored
[2018-09-10 12:08:28] DEBUG:   702 703 123  is ignored
[2018-09-10 12:08:28] DEBUG:   701 702 123  is ignored
[2018-09-10 12:08:28] DEBUG:   700 701 123  is ignored
[2018-09-10 12:08:28] DEBUG:   706 97 123  is ignored
[2018-09-10 12:08:28] DEBUG:   707 706 123  is ignored
[2018-09-10 12:08:28] DEBUG:   98 707 123  is ignored
[2018-09-10 12:08:28] DEBUG:   102 716 123  is ignored
[2018-09-10 12:08:28] DEBUG:   716 717 123  is ignored
[2018-09-10 12:08:28] DEBUG:   717 104 123  is ignored
[2018-09-10 12:08:28] DEBUG:   725 726 123  is ignored
[2018-09-10 12:08:28] DEBUG:   107 725 123  is ignored
[2018-09-10 12:08:28] DEBUG:   727 108 123  is ignored
[2018-09-10 12:08:28] DEBUG:   726 727 123  is ignored
[2018-09-10 12:08:28] DEBUG:   115 114 123  is ignored
[2018-09-10 12:08:28] DEBUG:   114 111 123  is ignored
[2018-09-10 12:08:28] DEBUG:   734 735 123  is ignored
[2018-09-10 12:08:28] DEBUG:   110 734 123  is ignored
[2018-09-10 12:08:28] DEBUG:   736 112 123  is ignored
[2018-09-10 12:08:28] DEBUG:   735 736 123  is ignored
[2018-09-10 12:08:28] DEBUG:   118 743 123  is ignored
[2018-09-10 12:08:28] DEBUG:   746 117 123  is ignored
[2018-09-10 12:08:28] DEBUG:   119 745 123  is ignored
[2018-09-10 12:08:28] DEBUG:   744 119 123  is ignored
[2018-09-10 12:08:28] DEBUG:   743 744 123  is ignored
[2018-09-10 12:08:28] DEBUG:   745 746 123  is ignored
[2018-09-10 12:08:28] DEBUG:   124 450 123  is ignored
[2018-09-10 12:08:28] DEBUG:   752 125 123  is ignored
[2018-09-10 12:08:28] DEBUG:   125 124 123  is ignored
[2018-09-10 12:08:28] DEBUG:   126 752 123  is ignored
[2018-09-10 12:08:28] DEBUG:   123 126 123  is ignored
[2018-09-10 12:08:28] DEBUG:   760 761 123  is ignored
[2018-09-10 12:08:28] DEBUG:   759 760 123  is ignored
[2018-09-10 12:08:28] DEBUG:   129 758 123  is ignored
[2018-09-10 12:08:28] DEBUG:   761 130 123  is ignored
[2018-09-10 12:08:28] DEBUG:   758 759 123  is ignored
[2018-09-10 12:08:28] DEBUG:   763 131 123  is ignored
[2018-09-10 12:08:28] DEBUG:   765 764 123  is ignored
[2018-09-10 12:08:28] DEBUG:   132 765 123  is ignored
[2018-09-10 12:08:28] DEBUG:   764 763 123  is ignored
[2018-09-10 12:08:28] DEBUG:   138 776 123  is ignored
[2018-09-10 12:08:28] DEBUG:   773 135 123  is ignored
[2018-09-10 12:08:28] DEBUG:   776 136 123  is ignored
[2018-09-10 12:08:28] DEBUG:   136 773 123  is ignored
[2018-09-10 12:08:28] DEBUG:   777 139 123  is ignored
[2018-09-10 12:08:28] DEBUG:   143 785 123  is ignored
[2018-09-10 12:08:28] DEBUG:   140 777 123  is ignored
[2018-09-10 12:08:28] DEBUG:   784 140 123  is ignored
[2018-09-10 12:08:28] DEBUG:   785 784 123  is ignored
[2018-09-10 12:08:28] DEBUG:   786 144 123  is ignored
[2018-09-10 12:08:28] DEBUG:   145 787 123  is ignored
[2018-09-10 12:08:28] DEBUG:   787 786 123  is ignored
[2018-09-10 12:08:28] DEBUG:   149 798 123  is ignored
[2018-09-10 12:08:28] DEBUG:   800 151 123  is ignored
[2018-09-10 12:08:28] DEBUG:   798 799 123  is ignored
[2018-09-10 12:08:28] DEBUG:   799 800 123  is ignored
[2018-09-10 12:08:28] DEBUG:   156 806 123  is ignored
[2018-09-10 12:08:28] DEBUG:   153 152 123  is ignored
[2018-09-10 12:08:28] DEBUG:   806 153 123  is ignored
[2018-09-10 12:08:28] DEBUG:   161 159 123  is ignored
[2018-09-10 12:08:28] DEBUG:   160 811 123  is ignored
[2018-09-10 12:08:28] DEBUG:   811 161 123  is ignored
[2018-09-10 12:08:28] DEBUG:   812 162 123  is ignored
[2018-09-10 12:08:28] DEBUG:   163 813 123  is ignored
[2018-09-10 12:08:28] DEBUG:   813 812 123  is ignored
[2018-09-10 12:08:28] DEBUG:   827 170 123  is ignored
[2018-09-10 12:08:28] DEBUG:   826 169 123  is ignored
[2018-09-10 12:08:28] DEBUG:   169 827 123  is ignored
[2018-09-10 12:08:28] DEBUG:   170 167 123  is ignored
[2018-09-10 12:08:28] DEBUG:   824 825 123  is ignored
[2018-09-10 12:08:28] DEBUG:   825 826 123  is ignored
[2018-09-10 12:08:28] DEBUG:   168 824 123  is ignored
[2018-09-10 12:08:28] DEBUG:   830 829 123  is ignored
[2018-09-10 12:08:28] DEBUG:   173 830 123  is ignored
[2018-09-10 12:08:28] DEBUG:   829 171 123  is ignored
[2018-09-10 12:08:28] DEBUG:   835 175 123  is ignored
[2018-09-10 12:08:28] DEBUG:   837 836 123  is ignored
[2018-09-10 12:08:28] DEBUG:   177 838 123  is ignored
[2018-09-10 12:08:28] DEBUG:   836 835 123  is ignored
[2018-09-10 12:08:28] DEBUG:   838 837 123  is ignored
[2018-09-10 12:08:28] DEBUG:   182 847 123  is ignored
[2018-09-10 12:08:28] DEBUG:   847 181 123  is ignored
[2018-09-10 12:08:28] DEBUG:   849 183 123  is ignored
[2018-09-10 12:08:28] DEBUG:   850 849 123  is ignored
[2018-09-10 12:08:28] DEBUG:   853 185 123  is ignored
[2018-09-10 12:08:28] DEBUG:   186 853 123  is ignored
[2018-09-10 12:08:28] DEBUG:   185 850 123  is ignored
[2018-09-10 12:08:28] DEBUG:   856 190 123  is ignored
[2018-09-10 12:08:28] DEBUG:   189 856 123  is ignored
[2018-09-10 12:08:28] DEBUG:   863 864 123  is ignored
[2018-09-10 12:08:28] DEBUG:   862 863 123  is ignored
[2018-09-10 12:08:28] DEBUG:   193 862 123  is ignored
[2018-09-10 12:08:28] DEBUG:   864 194 123  is ignored
[2018-09-10 12:08:28] DEBUG:   871 872 123  is ignored
[2018-09-10 12:08:28] DEBUG:   872 873 123  is ignored
[2018-09-10 12:08:28] DEBUG:   873 197 123  is ignored
[2018-09-10 12:08:28] DEBUG:   198 871 123  is ignored
[2018-09-10 12:08:28] DEBUG:   201 879 123  is ignored
[2018-09-10 12:08:28] DEBUG:   881 202 123  is ignored
[2018-09-10 12:08:28] DEBUG:   880 881 123  is ignored
[2018-09-10 12:08:28] DEBUG:   879 880 123  is ignored
[2018-09-10 12:08:28] DEBUG:   208 209 123  is ignored
[2018-09-10 12:08:28] DEBUG:   887 888 123  is ignored
[2018-09-10 12:08:28] DEBUG:   886 887 123  is ignored
[2018-09-10 12:08:28] DEBUG:   888 205 123  is ignored
[2018-09-10 12:08:28] DEBUG:   203 886 123  is ignored
[2018-09-10 12:08:28] DEBUG:   207 893 123  is ignored
[2018-09-10 12:08:28] DEBUG:   893 208 123  is ignored
[2018-09-10 12:08:28] DEBUG:   898 899 123  is ignored
[2018-09-10 12:08:28] DEBUG:   900 213 123  is ignored
[2018-09-10 12:08:28] DEBUG:   212 898 123  is ignored
[2018-09-10 12:08:28] DEBUG:   899 900 123  is ignored
[2018-09-10 12:08:28] DEBUG:   904 214 123  is ignored
[2018-09-10 12:08:28] DEBUG:   216 907 123  is ignored
[2018-09-10 12:08:28] DEBUG:   907 906 123  is ignored
[2018-09-10 12:08:28] DEBUG:   905 904 123  is ignored
[2018-09-10 12:08:28] DEBUG:   906 905 123  is ignored
[2018-09-10 12:08:28] DEBUG:   915 218 123  is ignored
[2018-09-10 12:08:28] DEBUG:   220 917 123  is ignored
[2018-09-10 12:08:28] DEBUG:   916 915 123  is ignored
[2018-09-10 12:08:28] DEBUG:   917 916 123  is ignored
[2018-09-10 12:08:28] DEBUG:   223 923 123  is ignored
[2018-09-10 12:08:28] DEBUG:   922 222 123  is ignored
[2018-09-10 12:08:28] DEBUG:   923 922 123  is ignored
[2018-09-10 12:08:28] DEBUG:   228 932 123  is ignored
[2018-09-10 12:08:28] DEBUG:   932 933 123  is ignored
[2018-09-10 12:08:28] DEBUG:   933 229 123  is ignored
[2018-09-10 12:08:28] DEBUG:   938 937 123  is ignored
[2018-09-10 12:08:28] DEBUG:   937 230 123  is ignored
[2018-09-10 12:08:28] DEBUG:   233 941 123  is ignored
[2018-09-10 12:08:28] DEBUG:   232 938 123  is ignored
[2018-09-10 12:08:28] DEBUG:   941 232 123  is ignored
[2018-09-10 12:08:28] DEBUG:   945 946 123  is ignored
[2018-09-10 12:08:28] DEBUG:   236 945 123  is ignored
[2018-09-10 12:08:28] DEBUG:   946 237 123  is ignored
[2018-09-10 12:08:28] DEBUG:   956 957 123  is ignored
[2018-09-10 12:08:28] DEBUG:   957 240 123  is ignored
[2018-09-10 12:08:28] DEBUG:   241 955 123  is ignored
[2018-09-10 12:08:28] DEBUG:   955 956 123  is ignored
[2018-09-10 12:08:28] DEBUG:   244 242 123  is ignored
[2018-09-10 12:08:28] DEBUG:   964 963 123  is ignored
[2018-09-10 12:08:28] DEBUG:   246 965 123  is ignored
[2018-09-10 12:08:28] DEBUG:   963 244 123  is ignored
[2018-09-10 12:08:28] DEBUG:   965 964 123  is ignored
[2018-09-10 12:08:28] DEBUG:   966 247 123  is ignored
[2018-09-10 12:08:28] DEBUG:   253 252 123  is ignored
[2018-09-10 12:08:28] DEBUG:   248 966 123  is ignored
[2018-09-10 12:08:28] DEBUG:   252 972 123  is ignored
[2018-09-10 12:08:28] DEBUG:   972 248 123  is ignored
[2018-09-10 12:08:28] DEBUG:   251 248 123  is ignored
[2018-09-10 12:08:28] DEBUG:   258 256 123  is ignored
[2018-09-10 12:08:28] DEBUG:   258 468 123  is ignored
[2018-09-10 12:08:28] DEBUG:   980 981 123  is ignored
[2018-09-10 12:08:28] DEBUG:   265 263 123  is ignored
[2018-09-10 12:08:28] DEBUG:   265 267 123  is ignored
[2018-09-10 12:08:28] DEBUG:   981 982 123  is ignored
[2018-09-10 12:08:28] DEBUG:   262 980 123  is ignored
[2018-09-10 12:08:28] DEBUG:   982 264 123  is ignored
[2018-09-10 12:08:28] DEBUG:   990 272 123  is ignored
[2018-09-10 12:08:28] DEBUG:   269 986 123  is ignored
[2018-09-10 12:08:28] DEBUG:   273 269 123  is ignored
[2018-09-10 12:08:28] DEBUG:   271 990 123  is ignored
[2018-09-10 12:08:28] DEBUG:   986 268 123  is ignored
