time,p_0m,p_4p2m,p_5p6m,T_0m,T_4p2m,T_5p6m,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy_0m
3.70000000e+01,9.98690095e-01,8.44256357e-01,5.19197048e-01,2.72999969e+02,2.72998073e+02,2.74410853e+02,2.75160685e-07,1.05742028e-05,1.03308146e-04,-9.99563250e-01,-9.52771559e-01,-8.53101286e-01,-1.00000000e+00
3.90000000e+01,9.98296713e-01,8.33389055e-01,5.07444545e-01,2.72999960e+02,2.72998524e+02,2.74610673e+02,3.44251423e-07,1.17349369e-05,1.06098237e-04,-9.99432088e-01,-9.49289552e-01,-8.49507359e-01,-1.00000000e+00
4.10000000e+01,9.97826878e-01,8.22790766e-01,4.96440363e-01,2.72999949e+02,2.72999194e+02,2.74819143e+02,4.23832162e-07,1.29254020e-05,1.08816887e-04,-9.99275435e-01,-9.45881533e-01,-8.46189677e-01,-1.00000000e+00
4.30000000e+01,9.97274389e-01,8.12468044e-01,4.86110107e-01,2.72999936e+02,2.73000124e+02,2.75035179e+02,5.14357277e-07,1.41421156e-05,1.11469314e-04,-9.99091224e-01,-9.42551404e-01,-8.43121987e-01,-1.00000000e+00
4.50000000e+01,9.96633682e-01,8.02423215e-01,4.76389057e-01,2.72999921e+02,2.73001356e+02,2.75257756e+02,6.16192362e-07,1.53819511e-05,1.14060128e-04,-9.98877598e-01,-9.39301523e-01,-8.40281020e-01,-1.00000000e+00
4.70000000e+01,9.95899877e-01,7.92655428e-01,4.67220660e-01,2.72999904e+02,2.73002939e+02,2.75485916e+02,7.29616920e-07,1.66421037e-05,1.16593431e-04,-9.98632932e-01,-9.36133054e-01,-8.37646100e-01,-1.00000000e+00
4.90000000e+01,9.95068817e-01,7.83161465e-01,4.58555292e-01,2.72999884e+02,2.73004920e+02,2.75718774e+02,8.54828592e-07,1.79200584e-05,1.19072888e-04,-9.98355839e-01,-9.33046244e-01,-8.35198804e-01,-1.00000000e+00
5.10000000e+01,9.94137079e-01,7.73936375e-01,4.50349229e-01,2.72999862e+02,2.73007348e+02,2.75955519e+02,9.91948457e-07,1.92135590e-05,1.21501791e-04,-9.98045178e-01,-9.30040640e-01,-8.32922680e-01,-1.00000000e+00
5.30000000e+01,9.93101959e-01,7.64973966e-01,4.42563794e-01,2.72999838e+02,2.73010274e+02,2.76195410e+02,1.14102702e-06,2.05205813e-05,1.23883110e-04,-9.97700047e-01,-9.27115265e-01,-8.30803000e-01,-1.00000000e+00
5.50000000e+01,9.91961456e-01,7.56267174e-01,4.35164646e-01,2.72999811e+02,2.73013748e+02,2.76437774e+02,1.30205058e-06,2.18393076e-05,1.26219533e-04,-9.97319779e-01,-9.24268749e-01,-8.28826552e-01,-1.00000000e+00
5.70000000e+01,9.90714233e-01,7.47808359e-01,4.28121183e-01,2.72999782e+02,2.73017820e+02,2.76682005e+02,1.47494775e-06,2.31681045e-05,1.28513508e-04,-9.96903929e-01,-9.21499439e-01,-8.26981454e-01,-1.00000000e+00
5.90000000e+01,9.89359579e-01,7.39589522e-01,4.21406043e-01,2.72999750e+02,2.73022538e+02,2.76927558e+02,1.65959590e-06,2.45055023e-05,1.30767265e-04,-9.96452258e-01,-9.18805476e-01,-8.25257002e-01,-1.00000000e+00
6.10000000e+01,9.87897359e-01,7.31602475e-01,4.14994679e-01,2.72999715e+02,2.73027951e+02,2.77173945e+02,1.85582739e-06,2.58501779e-05,1.32982847e-04,-9.95964723e-01,-9.16184865e-01,-8.23643532e-01,-1.00000000e+00
6.30000000e+01,9.86327962e-01,7.23838969e-01,4.08865000e-01,2.72999678e+02,2.73034104e+02,2.77420728e+02,2.06343558e-06,2.72009380e-05,1.35162129e-04,-9.95441453e-01,-9.13635520e-01,-8.22132305e-01,-1.00000000e+00
6.50000000e+01,9.84652254e-01,7.16290789e-01,4.02997071e-01,2.72999639e+02,2.73041041e+02,2.77667521e+02,2.28218043e-06,2.85567056e-05,1.37306836e-04,-9.94882736e-01,-9.11155305e-01,-8.20715397e-01,-1.00000000e+00
6.70000000e+01,9.82871517e-01,7.08949829e-01,3.97372842e-01,2.72999597e+02,2.73048802e+02,2.77913979e+02,2.51179368e-06,2.99165075e-05,1.39418563e-04,-9.94289001e-01,-9.08742064e-01,-8.19385620e-01,-1.00000000e+00
6.90000000e+01,9.80987407e-01,7.01808138e-01,3.91975935e-01,2.72999553e+02,2.73057428e+02,2.78159799e+02,2.75198367e-06,3.12794629e-05,1.41498783e-04,-9.93660799e-01,-9.06393642e-01,-8.18136432e-01,-1.00000000e+00
7.10000000e+01,9.79001903e-01,6.94857966e-01,3.86791444e-01,2.72999506e+02,2.73066952e+02,2.78404710e+02,3.00243966e-06,3.26447737e-05,1.43548864e-04,-9.92998790e-01,-9.04107904e-01,-8.16961878e-01,-1.00000000e+00
7.30000000e+01,9.76917255e-01,6.88091781e-01,3.81805772e-01,2.72999457e+02,2.73077409e+02,2.78648479e+02,3.26283586e-06,3.40117161e-05,1.45570076e-04,-9.92303724e-01,-9.01882746e-01,-8.15856522e-01,-1.00000000e+00
7.50000000e+01,9.74735951e-01,6.81502293e-01,3.77006482e-01,2.72999406e+02,2.73088827e+02,2.78890899e+02,3.53283487e-06,3.53796325e-05,1.47563603e-04,-9.91576431e-01,-8.99716105e-01,-8.14815396e-01,-1.00000000e+00
7.70000000e+01,9.72460667e-01,6.75082463e-01,3.72382180e-01,2.72999352e+02,2.73101234e+02,2.79131790e+02,3.81209091e-06,3.67479251e-05,1.49530549e-04,-9.90817803e-01,-8.97605966e-01,-8.13833954e-01,-1.00000000e+00
7.90000000e+01,9.70094240e-01,6.68825507e-01,3.67922395e-01,2.72999297e+02,2.73114652e+02,2.79370995e+02,4.10025259e-06,3.81160494e-05,1.51471946e-04,-9.90028786e-01,-8.95550369e-01,-8.12908028e-01,-1.00000000e+00
8.10000000e+01,9.67639627e-01,6.62724899e-01,3.63617493e-01,2.72999239e+02,2.73129102e+02,2.79608380e+02,4.39696535e-06,3.94835092e-05,1.53388760e-04,-9.89210366e-01,-8.93547408e-01,-8.12033790e-01,-1.00000000e+00
8.30000000e+01,9.65099881e-01,6.56774368e-01,3.59458586e-01,2.72999179e+02,2.73144602e+02,2.79843830e+02,4.70187364e-06,4.08498518e-05,1.55281896e-04,-9.88363561e-01,-8.91595235e-01,-8.11207725e-01,-1.00000000e+00
8.50000000e+01,9.62478121e-01,6.50967896e-01,3.55437460e-01,2.72999118e+02,2.73161165e+02,2.80077245e+02,5.01462275e-06,4.22146636e-05,1.57152207e-04,-9.87489411e-01,-8.89692064e-01,-8.10426592e-01,-1.00000000e+00
8.70000000e+01,9.59777509e-01,6.45299715e-01,3.51546513e-01,2.72999054e+02,2.73178803e+02,2.80308542e+02,5.33486047e-06,4.35775663e-05,1.59000493e-04,-9.86588970e-01,-8.87836165e-01,-8.09687406e-01,-1.00000000e+00
8.90000000e+01,9.57001231e-01,6.39764294e-01,3.47778693e-01,2.72998989e+02,2.73197525e+02,2.80537651e+02,5.66223838e-06,4.49382138e-05,1.60827505e-04,-9.85663300e-01,-8.86025869e-01,-8.08987412e-01,-1.00000000e+00
