vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
5917,1,8.4963e-14,8.4963e-14,8.4963e-14,0.221541,140902
5918,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,140983
5919,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,141039
5920,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,141079
5921,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,141223
5922,1,3.11651e-14,3.11651e-14,3.11651e-14,0.188503,136544
5923,1,4.1597e-14,4.1597e-14,4.1597e-14,0.196759,136783
5924,1,5.88944e-14,5.88944e-14,5.88944e-14,0.209178,136857
5925,1,7.59757e-14,7.59757e-14,7.59757e-14,0.218939,136951
5926,1,8.33043e-14,8.33043e-14,8.33043e-14,0.22106,137038
5927,1,8.79621e-14,8.79621e-14,8.79621e-14,0.222361,137146
5928,1,9.0291e-14,9.0291e-14,9.0291e-14,0.223012,137283
5929,1,9.0291e-14,9.0291e-14,9.0291e-14,0.223012,137330
5930,1,9.0291e-14,9.0291e-14,9.0291e-14,0.223012,137438
5931,1,2.6162e-14,2.6162e-14,2.6162e-14,0.18538,132513
5932,1,3.22028e-14,3.22028e-14,3.22028e-14,0.189525,132743
5933,1,5.63657e-14,5.63657e-14,5.63657e-14,0.206106,132819
5934,1,7.4488e-14,7.4488e-14,7.4488e-14,0.218542,133022
5935,1,8.14747e-14,8.14747e-14,8.14747e-14,0.220494,133161
5936,1,9.07902e-14,9.07902e-14,9.07902e-14,0.223097,133261
5937,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,133425
5938,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,133536
5939,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,133731
5940,1,3.22028e-14,3.22028e-14,3.22028e-14,0.189525,128514
5941,1,5.0325e-14,5.0325e-14,5.0325e-14,0.201961,128753
5942,1,6.84473e-14,6.84473e-14,6.84473e-14,0.214397,128765
5943,1,7.91458e-14,7.91458e-14,7.91458e-14,0.219843,128921
5944,1,8.84613e-14,8.84613e-14,8.84613e-14,0.222446,128963
5945,1,9.26397e-14,9.26397e-14,9.26397e-14,0.223625,129116
5946,1,9.16808e-14,9.16808e-14,9.16808e-14,0.223379,129188
5947,1,9.12014e-14,9.12014e-14,9.12014e-14,0.223256,129256
5948,1,9.12014e-14,9.12014e-14,9.12014e-14,0.223256,129454
5949,1,4.42843e-14,4.42843e-14,4.42843e-14,0.197816,124501
5950,1,6.84473e-14,6.84473e-14,6.84473e-14,0.214397,124825
5951,1,7.68169e-14,7.68169e-14,7.68169e-14,0.219193,124927
5952,1,8.61324e-14,8.61324e-14,8.61324e-14,0.221796,125093
5953,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,125192
5954,1,9.16808e-14,9.16808e-14,9.16808e-14,0.223379,125431
5955,1,8.9763e-14,8.9763e-14,8.9763e-14,0.222887,125510
5956,1,8.92836e-14,8.92836e-14,8.92836e-14,0.222764,125674
5957,1,8.92836e-14,8.92836e-14,8.92836e-14,0.222764,125922
5958,1,5.0325e-14,5.0325e-14,5.0325e-14,0.201961,126993
5959,1,7.4488e-14,7.4488e-14,7.4488e-14,0.218542,127080
