vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
40946,2,2.02979e-13,2.02979e-13,2.02979e-13,0.25049,144485
40947,2,2.02979e-13,2.02979e-13,2.02979e-13,0.25049,144067
40948,2,1.97491e-13,1.97491e-13,1.97491e-13,0.249313,144353
40949,2,1.92002e-13,1.92002e-13,1.92002e-13,0.248137,142810
40950,2,1.44528e-13,1.44528e-13,1.44528e-13,0.236724,141548
40951,2,1.46635e-13,1.46635e-13,1.46635e-13,0.237215,142135
40952,2,1.47491e-13,1.47491e-13,1.47491e-13,0.237412,143577
40953,2,1.47378e-13,1.47378e-13,1.47378e-13,0.237379,144013
40954,2,1.47321e-13,1.47321e-13,1.47321e-13,0.237362,145094
40955,2,1.4987e-13,1.4987e-13,1.4987e-13,0.237967,145120
40956,2,1.54968e-13,1.54968e-13,1.54968e-13,0.239178,146158
40957,2,1.57089e-13,1.57089e-13,1.57089e-13,0.239681,148098
40958,2,1.56232e-13,1.56232e-13,1.56232e-13,0.239475,147798
40959,2,1.55804e-13,1.55804e-13,1.55804e-13,0.239372,149093
40960,2,1.58737e-13,1.58737e-13,1.58737e-13,0.240159,150311
40961,2,1.64604e-13,1.64604e-13,1.64604e-13,0.241733,149942
40962,2,1.66712e-13,1.66712e-13,1.66712e-13,0.24231,150688
40963,2,1.6506e-13,1.6506e-13,1.6506e-13,0.241889,151635
40964,2,1.64235e-13,1.64235e-13,1.64235e-13,0.241678,153233
40965,2,1.67643e-13,1.67643e-13,1.67643e-13,0.242483,154179
40966,2,1.74458e-13,1.74458e-13,1.74458e-13,0.244092,156691
40967,2,1.77866e-13,1.77866e-13,1.77866e-13,0.244897,157501
40968,2,1.76506e-13,1.76506e-13,1.76506e-13,0.244571,158755
40969,2,1.75145e-13,1.75145e-13,1.75145e-13,0.244245,156068
40970,2,1.76726e-13,1.76726e-13,1.76726e-13,0.244677,153321
40971,2,1.81249e-13,1.81249e-13,1.81249e-13,0.245866,150463
40972,2,1.8419e-13,1.8419e-13,1.8419e-13,0.246623,148070
40973,2,1.80803e-13,1.80803e-13,1.80803e-13,0.245791,146203
40974,2,1.7911e-13,1.7911e-13,1.7911e-13,0.245375,145661
40975,2,1.83033e-13,1.83033e-13,1.83033e-13,0.246267,145945
40976,2,1.85262e-13,1.85262e-13,1.85262e-13,0.246743,145953
40977,2,1.89185e-13,1.89185e-13,1.89185e-13,0.247636,146452
40978,2,1.88751e-13,1.88751e-13,1.88751e-13,0.247525,146462
