Time,"elementCenter:0","elementCenter:1","elementCenter:2","temperature"
10000,0.17655,0.0017333,0.05,5.2484
10000,0.17655,0.0017333,0.05,5.2484
10000,0.17655,0.0017333,0.05,5.2484
10000,0.17655,0.0017333,0.05,5.2484
10000,0.18004,0.0017676,0.05,4.7516
10000,0.18004,0.0017676,0.05,4.7516
10000,0.18004,0.0017676,0.05,4.7516
10000,0.18359,0.0018025,0.05,4.3001
10000,0.18359,0.0018025,0.05,4.3001
10000,0.18359,0.0018025,0.05,4.3001
10000,0.18359,0.0018025,0.05,4.3001
10000,0.18722,0.001838,0.05,3.8894
10000,0.18722,0.001838,0.05,3.8894
10000,0.18722,0.001838,0.05,3.8894
10000,0.18722,0.001838,0.05,3.8894
10000,0.19091,0.0018743,0.05,3.5157
10000,0.19091,0.0018743,0.05,3.5157
10000,0.19091,0.0018743,0.05,3.5157
10000,0.19468,0.0019114,0.05,3.1756
10000,0.19468,0.0019114,0.05,3.1756
10000,0.19468,0.0019114,0.05,3.1756
10000,0.19468,0.0019114,0.05,3.1756
10000,0.19853,0.0019491,0.05,2.8658
10000,0.19853,0.0019491,0.05,2.8658
10000,0.19853,0.0019491,0.05,2.8658
10000,0.19853,0.0019491,0.05,2.8658
10000,0.20245,0.0019876,0.05,2.5837
10000,0.20245,0.0019876,0.05,2.5837
10000,0.20245,0.0019876,0.05,2.5837
10000,0.20245,0.0019876,0.05,2.5837
10000,0.20645,0.0020269,0.05,2.3268
10000,0.20645,0.0020269,0.05,2.3268
10000,0.20645,0.0020269,0.05,2.3268
10000,0.20645,0.0020269,0.05,2.3268
10000,0.21053,0.0020669,0.05,2.0928
10000,0.21053,0.0020669,0.05,2.0928
10000,0.21053,0.0020669,0.05,2.0928
10000,0.21053,0.0020669,0.05,2.0928
10000,0.21469,0.0021078,0.05,1.8798
10000,0.21469,0.0021078,0.05,1.8798
10000,0.21469,0.0021078,0.05,1.8798
10000,0.21469,0.0021078,0.05,1.8798
10000,0.21893,0.0021494,0.05,1.6859
10000,0.21893,0.0021494,0.05,1.6859
10000,0.21893,0.0021494,0.05,1.6859
10000,0.21893,0.0021494,0.05,1.6859
10000,0.21893,0.0021494,0.05,1.6859
10000,0.22326,0.0021919,0.05,1.5095
10000,0.22326,0.0021919,0.05,1.5095
10000,0.22326,0.0021919,0.05,1.5095
10000,0.22326,0.0021919,0.05,1.5095
10000,0.22767,0.0022352,0.05,1.3492
10000,0.22767,0.0022352,0.05,1.3492
10000,0.22767,0.0022352,0.05,1.3492
10000,0.22767,0.0022352,0.05,1.3492
10000,0.23217,0.0022794,0.05,1.2036
10000,0.23217,0.0022794,0.05,1.2036
10000,0.23217,0.0022794,0.05,1.2036
10000,0.23217,0.0022794,0.05,1.2036
10000,0.23217,0.0022794,0.05,1.2036
10000,0.23676,0.0023244,0.05,1.0714
10000,0.23676,0.0023244,0.05,1.0714
10000,0.23676,0.0023244,0.05,1.0714
10000,0.23676,0.0023244,0.05,1.0714
10000,0.23676,0.0023244,0.05,1.0714
10000,0.24144,0.0023704,0.05,0.95166
10000,0.24144,0.0023704,0.05,0.95166
10000,0.24144,0.0023704,0.05,0.95166
10000,0.24144,0.0023704,0.05,0.95166
10000,0.24621,0.0024172,0.05,0.84329
10000,0.24621,0.0024172,0.05,0.84329
10000,0.24621,0.0024172,0.05,0.84329
10000,0.24621,0.0024172,0.05,0.84329
10000,0.24621,0.0024172,0.05,0.84329
10000,0.25108,0.002465,0.05,0.74536
10000,0.25108,0.002465,0.05,0.74536
10000,0.25108,0.002465,0.05,0.74536
10000,0.25108,0.002465,0.05,0.74536
10000,0.25108,0.002465,0.05,0.74536
10000,0.25604,0.0025137,0.05,0.65703
10000,0.25604,0.0025137,0.05,0.65703
10000,0.25604,0.0025137,0.05,0.65703
10000,0.25604,0.0025137,0.05,0.65703
10000,0.25604,0.0025137,0.05,0.65703
10000,0.2611,0.0025634,0.05,0.57751
10000,0.2611,0.0025634,0.05,0.57751
10000,0.2611,0.0025634,0.05,0.57751
10000,0.2611,0.0025634,0.05,0.57751
10000,0.2611,0.0025634,0.05,0.57751
10000,0.26626,0.0026141,0.05,0.50608
10000,0.26626,0.0026141,0.05,0.50608
10000,0.26626,0.0026141,0.05,0.50608
10000,0.26626,0.0026141,0.05,0.50608
10000,0.26626,0.0026141,0.05,0.50608
10000,0.27153,0.0026658,0.05,0.44207
10000,0.27153,0.0026658,0.05,0.44207
10000,0.27153,0.0026658,0.05,0.44207
10000,0.27153,0.0026658,0.05,0.44207
10000,0.27153,0.0026658,0.05,0.44207
10000,0.27153,0.0026658,0.05,0.44207
10000,0.2769,0.0027185,0.05,0.38486
10000,0.2769,0.0027185,0.05,0.38486
10000,0.2769,0.0027185,0.05,0.38486
10000,0.2769,0.0027185,0.05,0.38486
10000,0.2769,0.0027185,0.05,0.38486
10000,0.28237,0.0027723,0.05,0.33387
10000,0.28237,0.0027723,0.05,0.33387
10000,0.28237,0.0027723,0.05,0.33387
10000,0.28237,0.0027723,0.05,0.33387
10000,0.28237,0.0027723,0.05,0.33387
10000,0.28237,0.0027723,0.05,0.33387
10000,0.28796,0.0028271,0.05,0.28855
10000,0.28796,0.0028271,0.05,0.28855
10000,0.28796,0.0028271,0.05,0.28855
10000,0.28796,0.0028271,0.05,0.28855
10000,0.28796,0.0028271,0.05,0.28855
10000,0.29365,0.002883,0.05,0.24842
10000,0.29365,0.002883,0.05,0.24842
10000,0.29365,0.002883,0.05,0.24842
10000,0.29365,0.002883,0.05,0.24842
10000,0.29365,0.002883,0.05,0.24842
10000,0.29365,0.002883,0.05,0.24842
10000,0.29946,0.00294,0.05,0.213
10000,0.29946,0.00294,0.05,0.213
10000,0.29946,0.00294,0.05,0.213
10000,0.29946,0.00294,0.05,0.213
10000,0.29946,0.00294,0.05,0.213
10000,0.29946,0.00294,0.05,0.213
10000,0.30538,0.0029982,0.05,0.18186
10000,0.30538,0.0029982,0.05,0.18186
10000,0.30538,0.0029982,0.05,0.18186
10000,0.30538,0.0029982,0.05,0.18186
10000,0.30538,0.0029982,0.05,0.18186
10000,0.30538,0.0029982,0.05,0.18186
10000,0.31142,0.0030575,0.05,0.15458
10000,0.31142,0.0030575,0.05,0.15458
10000,0.31142,0.0030575,0.05,0.15458
10000,0.31142,0.0030575,0.05,0.15458
10000,0.31142,0.0030575,0.05,0.15458
10000,0.31142,0.0030575,0.05,0.15458
10000,0.31758,0.003118,0.05,0.13079
10000,0.31758,0.003118,0.05,0.13079
10000,0.31758,0.003118,0.05,0.13079
10000,0.31758,0.003118,0.05,0.13079
10000,0.31758,0.003118,0.05,0.13079
10000,0.31758,0.003118,0.05,0.13079
10000,0.32386,0.0031796,0.05,0.11012
10000,0.32386,0.0031796,0.05,0.11012
10000,0.32386,0.0031796,0.05,0.11012
10000,0.32386,0.0031796,0.05,0.11012
10000,0.32386,0.0031796,0.05,0.11012
10000,0.32386,0.0031796,0.05,0.11012
10000,0.32386,0.0031796,0.05,0.11012
10000,0.33027,0.0032425,0.05,0.092267
10000,0.33027,0.0032425,0.05,0.092267
10000,0.33027,0.0032425,0.05,0.092267
10000,0.33027,0.0032425,0.05,0.092267
10000,0.33027,0.0032425,0.05,0.092267
10000,0.33027,0.0032425,0.05,0.092267
10000,0.3368,0.0033067,0.05,0.076906
10000,0.3368,0.0033067,0.05,0.076906
10000,0.3368,0.0033067,0.05,0.076906
10000,0.3368,0.0033067,0.05,0.076906
10000,0.3368,0.0033067,0.05,0.076906
10000,0.3368,0.0033067,0.05,0.076906
10000,0.3368,0.0033067,0.05,0.076906
10000,0.34347,0.0033721,0.05,0.06376
10000,0.34347,0.0033721,0.05,0.06376
10000,0.34347,0.0033721,0.05,0.06376
10000,0.34347,0.0033721,0.05,0.06376
10000,0.34347,0.0033721,0.05,0.06376
10000,0.34347,0.0033721,0.05,0.06376
10000,0.35026,0.0034388,0.05,0.05257
10000,0.35026,0.0034388,0.05,0.05257
10000,0.35026,0.0034388,0.05,0.05257
10000,0.35026,0.0034388,0.05,0.05257
10000,0.35026,0.0034388,0.05,0.05257
10000,0.35026,0.0034388,0.05,0.05257
10000,0.35026,0.0034388,0.05,0.05257
10000,0.35719,0.0035069,0.05,0.043097
10000,0.35719,0.0035069,0.05,0.043097
10000,0.35719,0.0035069,0.05,0.043097
10000,0.35719,0.0035069,0.05,0.043097
10000,0.35719,0.0035069,0.05,0.043097
10000,0.35719,0.0035069,0.05,0.043097
10000,0.35719,0.0035069,0.05,0.043097
10000,0.36426,0.0035762,0.05,0.035123
10000,0.36426,0.0035762,0.05,0.035123
10000,0.36426,0.0035762,0.05,0.035123
10000,0.36426,0.0035762,0.05,0.035123
10000,0.36426,0.0035762,0.05,0.035123
10000,0.36426,0.0035762,0.05,0.035123
10000,0.36426,0.0035762,0.05,0.035123
10000,0.37147,0.003647,0.05,0.028451
10000,0.37147,0.003647,0.05,0.028451
10000,0.37147,0.003647,0.05,0.028451
10000,0.37147,0.003647,0.05,0.028451
10000,0.37147,0.003647,0.05,0.028451
10000,0.37147,0.003647,0.05,0.028451
10000,0.37147,0.003647,0.05,0.028451
10000,0.37147,0.003647,0.05,0.028451
10000,0.37882,0.0037192,0.05,0.022902
10000,0.37882,0.0037192,0.05,0.022902
10000,0.37882,0.0037192,0.05,0.022902
10000,0.37882,0.0037192,0.05,0.022902
10000,0.37882,0.0037192,0.05,0.022902
10000,0.37882,0.0037192,0.05,0.022902
10000,0.37882,0.0037192,0.05,0.022902
10000,0.38632,0.0037928,0.05,0.018318
10000,0.38632,0.0037928,0.05,0.018318
10000,0.38632,0.0037928,0.05,0.018318
10000,0.38632,0.0037928,0.05,0.018318
10000,0.38632,0.0037928,0.05,0.018318
10000,0.38632,0.0037928,0.05,0.018318
10000,0.38632,0.0037928,0.05,0.018318
10000,0.38632,0.0037928,0.05,0.018318
10000,0.39396,0.0038678,0.05,0.014554
10000,0.39396,0.0038678,0.05,0.014554
10000,0.39396,0.0038678,0.05,0.014554
10000,0.39396,0.0038678,0.05,0.014554
10000,0.39396,0.0038678,0.05,0.014554
10000,0.39396,0.0038678,0.05,0.014554
10000,0.39396,0.0038678,0.05,0.014554
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40176,0.0039444,0.05,0.011486
10000,0.40971,0.0040224,0.05,0.009001
10000,0.40971,0.0040224,0.05,0.009001
10000,0.40971,0.0040224,0.05,0.009001
10000,0.40971,0.0040224,0.05,0.009001
10000,0.40971,0.0040224,0.05,0.009001
10000,0.40971,0.0040224,0.05,0.009001
10000,0.40971,0.0040224,0.05,0.009001
10000,0.40971,0.0040224,0.05,0.009001
10000,0.41782,0.004102,0.05,0.0070035
10000,0.41782,0.004102,0.05,0.0070035
10000,0.41782,0.004102,0.05,0.0070035
10000,0.41782,0.004102,0.05,0.0070035
10000,0.41782,0.004102,0.05,0.0070035
10000,0.41782,0.004102,0.05,0.0070035
10000,0.41782,0.004102,0.05,0.0070035
10000,0.41782,0.004102,0.05,0.0070035
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.42609,0.0041832,0.05,0.0054095
10000,0.43452,0.004266,0.05,0.004147
10000,0.43452,0.004266,0.05,0.004147
10000,0.43452,0.004266,0.05,0.004147
10000,0.43452,0.004266,0.05,0.004147
10000,0.43452,0.004266,0.05,0.004147
10000,0.43452,0.004266,0.05,0.004147
10000,0.43452,0.004266,0.05,0.004147
10000,0.43452,0.004266,0.05,0.004147
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.44312,0.0043505,0.05,0.0031547
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.45189,0.0044366,0.05,0.0023811
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46084,0.0045244,0.05,0.0017827
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.46996,0.004614,0.05,0.0013237
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.47926,0.0047053,0.05,0.00097467
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.48875,0.0047985,0.05,0.00071149
